Track,Repeats,Stations,Station_Count
Blæst - Vi ku' gå hele vejen,4,"P3, P4",2
Du Ligner Din Mor - Benjamin Hav ft. Lukas Graham,4,"Radio100, TheVoice",2
Hele Vejen - Omar ft. Mumle,4,TheVoice,1
Jonah Blacksmith - Up,3,"NOVA, P4, SkalaFM",3
Blæst - Elsker Dig Så Meget,3,"NOVA, SkalaFM",2
Malte Ebert - Er det mig du elsker?,3,"P4, SkalaFM",2
Malte Ebert - Fortæl Mig Hvis Du Vil Noget Andet,3,"NOVA, SkalaFM",2
Marcus.wav - Det sker alt for tit,3,"P3, P4",2
"Svea S, Burhan G - Det ønsker jeg for dig",3,"P3, P4",2
Lord Siva - California Dreamin',3,P3,1
Svea S - Det ønsker jeg for dig,3,P3,1
APHACA - Smelter under månen,2,"P3, RadioGlobus",2
Annika - Luk Mig Ind,2,"NOVA, SkalaFM",2
Down Under - Men At Work,2,"PopFM, Radio100",2
Karla Korsbak - Hen til det,2,"P3, P4",2
"Kind Mod Kind, Medina - Love Isn't Easy",2,"P3, P4",2
Mandags-Stævnemøde - Ray Dee Ohh,2,"PopFM, Radio100",2
Mumle - Det Modsatte,2,"NOVA, SkalaFM",2
Sømand Af Verden - Dodo and The Dodos,2,"PopFM, Radio100",2
APHACA - En drøm om et menneske,2,P3,1
"Anton Westerlin, Annika - Blodigt",2,P3,1
August Høyen - Gav det et skud,2,P4,1
Benjamin Hav ft. Lukas Graham - Du Ligner Din Mor,2,NOVA,1
"Benjamin Hav, Lukas Graham - Du ligner din mor",2,P3,1
Benson Boone - Sorry I'm Here For Someone Else,2,P4,1
"Blodigt - Anton Westerlin, Annika",2,TheVoice,1
Blæst - Vi Ku' Gå Hele Vejen,2,SkalaFM,1
Entré - Anton Westerlin ft. Lamin and ozzy,2,TheVoice,1
Lose Yourself - Mø,2,TheVoice,1
"Tobias Rahim, Kabusa Oriental Choir - Regntid",2,P3,1
Tobias Rahim/Kabusa Oriental Choir - Regntid,2,SkalaFM,1
ozzy - Mit ord,2,P3,1
APHACA - Et sted hvor vi de første,1,P3,1
"All For Love - Bryan Adams, Rod Stewart and Stin",1,Radio100,1
Alt Det - Thor Farlov ft. Noah Carter,1,TheVoice,1
Andreas Odbjerg - Hjem Fra Fabrikken,1,NOVA,1
Andreas Odbjerg - smugryger,1,P4,1
Annika Aakjær - POP,1,P4,1
Aphaca - Smelter Under Månen,1,SkalaFM,1
Ariana Grande - we can't be friends (wait for your love),1,P3,1
Aura - Song For Sophie,1,P4,1
BLÆST - Elsker dig så meget,1,RadioGlobus,1
BURHAN G - Ikke i nat ikke endnu,1,RadioGlobus,1
Back To Back - En elsker som dig,1,P4,1
Barbara Moleko - Gør mig lykkelig,1,P4,1
Berg - Koldblodet Killer,1,SkalaFM,1
Bifald - Tænker du mon nogensinde på os,1,P4,1
Bille & Buss - Den Lille Gumbas Feat. Botoft (Kontaktflade Mix),1,PartyFM,1
Blæst - Elsker dig så meget,1,P3,1
Blæst - Sover du nu,1,P3,1
Boogie Bros - Fight for Your Right (RainDropz! Bootleg Remix Edit),1,PartyFM,1
Brother Louie - Modern Talking,1,PopFM,1
Burhan G ft. Nik and Jay - Jeg Vil Ha' Dig For Mig Selv,1,NOVA,1
CHRISTOPHER - Ghost,1,RadioGlobus,1
CHRISTOPHER - Lose a you,1,RadioGlobus,1
Carl Emil Petersen - Finale på et filmset,1,P4,1
Cheri Cheri Lady - Modern Talking,1,PopFM,1
Christian Hjelm - Sjældne syner,1,P4,1
Christian Juncker - Mogens og Karen,1,P4,1
Christopher - Lose A You,1,SkalaFM,1
Christopher - ONE,1,P4,1
Christopher and Thor Farlov - Hvor Var Jeg Endt,1,NOVA,1
Citybois - Sig mig,1,P3,1
Clara Sofie/Rune RK - Når Tiden Går Baglæns,1,SkalaFM,1
Clemens - Ubetinget,1,PartyFM,1
Crazy For You - Madonna,1,PopFM,1
DIRTY Sound System - Waiting for Love (Technoposse Remix Edit),1,PartyFM,1
DJ Spiller/Sophie Ellis-Bextor/Spiller - Groovejet (If This Ain't Love),1,SkalaFM,1
Danser Med Piger - Danser Med Piger,1,SkalaFM,1
Danser Med Piger - Kærlighed & krig,1,P4,1
De Her Timer - Lamin,1,TheVoice,1
"Den Jeg Elsker, Elsker Jeg - Søs Fenger and Thomas Helmig",1,PopFM,1
Der Kommissar - Falco,1,PopFM,1
Det er mig der står herude og banker på - Thomas Helmig,1,PopFM,1
Dig & Mig - Dieters Lieder,1,Radio100,1
Djämes Braun - Kvinder Og Kanoner (feat. Barbara Moleko),1,PartyFM,1
Djämes Braun - Lytter ikk' til dem,1,P4,1
Dodo & The Dodo's - Giv mig hvad du har,1,P4,1
Dos Santos - Falder I,1,SkalaFM,1
Dos Santos - Folder Mine Hænder,1,SkalaFM,1
Du Tænder Lys - Lis Sørensen,1,PopFM,1
EMIL STABIL - Allerede is,1,RadioGlobus,1
Ella Augusta - Baglæns,1,P3,1
Elsk Mig I Nat - Rocazino,1,PopFM,1
Eminem - Sing For The Moment,1,PartyFM,1
Er Det Mig Du Elsker? - Malte Ebert,1,Radio100,1
Ferrari - James Hype ft. Miggy Dela Rosa,1,TheVoice,1
Fields Of Gold - Sting,1,PopFM,1
Flesh for Fantasy - Billy Idol,1,PopFM,1
Ganger - Elsker dig for evigt,1,P4,1
Gilli - Kender ik' i morgen,1,P3,1
Gilli - Rene Hjerter,1,P3,1
Giv Mig Hvad Du Har - Dodo and The Dodos,1,Radio100,1
Gobs - Tro På Kærlighed,1,PartyFM,1
Gå Med Dig - Nephew ft. Marie Key,1,Radio100,1
HJALMER - Samme fejl,1,RadioGlobus,1
HJALMER - Som at sove på hotel (Rasmus Skøtt remix),1,RadioGlobus,1
"Hej Matematik, Ankerstjerne - Det blir en go dag",1,P4,1
Hjalmer - Aldrig alene,1,P4,1
Hjalmer - Kom Sommer,1,NOVA,1
Hvis Det Bli'r - Dodo and The Dodos,1,PopFM,1
Hvis du forstod - Sanne Salomonsen,1,PopFM,1
Hvorlænge Vil Du Ydmyge Dig - Danser med drenge,1,Radio100,1
I'll Fly For You - Spandau Ballet,1,PopFM,1
IDA LAURBERG / ANDREAS ODBJERG - Jeg ka' rigtig godt li' dig,1,RadioGlobus,1
INFERNAL - Ten miles,1,RadioGlobus,1
If I Was - Midge Ure,1,PopFM,1
Infernal - From Paris to Berlin,1,SkalaFM,1
JONAH BLACKSMITH - House on fire,1,RadioGlobus,1
Jada - I'm Back,1,P4,1
Jada - Keep Cool,1,P3,1
Jada - Nudes,1,SkalaFM,1
Jada - On Me,1,P3,1
Jeg PrØver Igen - Danseorkestret,1,PopFM,1
Jeg elsker dig - News,1,PopFM,1
Jeg vil la' lyset brænde - Ray Dee Ohh,1,PopFM,1
Jonah Blacksmith - House On Fire,1,SkalaFM,1
Jonah Blacksmith - Yellow Bike,1,P4,1
Juncker - Mogens og Karen,1,P4,1
Justified And Ancient - Klf ft. Tammy Wynette,1,PopFM,1
Jyden - Sommer,1,PartyFM,1
Jyderne - Æ Hjem og Sove,1,PartyFM,1
KRYD - Ikke nogens mere,1,P4,1
KRYD - Skriv det på min gravsten,1,P4,1
KYGO / WHITNEY HOUSTON - Higher love,1,RadioGlobus,1
Karl William - Om igen,1,P3,1
Kato & Electric Lady Lab - Alive,1,PartyFM,1
"Kesi, Gilli - Su Casa",1,P3,1
LUKAS GRAHAM - Lie,1,RadioGlobus,1
Lamin - De her timer,1,P3,1
Let's Hear It For The Boy - Deniece Williams,1,PopFM,1
Lord Siva - Solhverv,1,P3,1
Lukas Graham - Ordinary Things,1,P3,1
Lukas Graham - You You You,1,P4,1
MADS LANGER - Eyes closed,1,RadioGlobus,1
MADS LANGER - Hanging with you,1,RadioGlobus,1
MARIE KEY - Uden forsvar,1,RadioGlobus,1
MEDINA - Velkommen til Medina,1,RadioGlobus,1
MGMT - Kids,1,RadioGlobus,1
MUMLE - Fra Jylland til København,1,RadioGlobus,1
MYLES SMITH - Wait for you,1,RadioGlobus,1
Mads Langer - 3 AM,1,P4,1
Major Lazer X DJ Snake - Lean On Feat. Mø,1,PartyFM,1
Malte Ebert - Mindst Ondt,1,SkalaFM,1
"Marquis de Sade, Anne Linnet - Venus",1,P4,1
Medina - Det smukkeste,1,P3,1
Medina - Jalousi,1,SkalaFM,1
Medina - Kun For Mig,1,SkalaFM,1
Medina - Kun for mig,1,NOVA,1
Medina - Når intet er godt nok,1,P4,1
Medina - Vi To,1,SkalaFM,1
Midt i en drøm - One Two,1,Radio100,1
Midt om natten - Kim Larsen,1,PopFM,1
Mig & Vennerne - Dieters Lieder,1,PopFM,1
Mightyfools & Cumfiesta - MEGA Super Lækker (Volde Bootleg,1,PartyFM,1
Mille - Drikker med mig selv,1,SkalaFM,1
Mine øjne de skal se - Lis Sørensen,1,Radio100,1
Money For Nothing - Dire Straits,1,PopFM,1
Mumle - Dårligt Match,1,NOVA,1
Mumle - Et for dig,1,P4,1
MØ - Final Song,1,SkalaFM,1
