Track,Repeats,Stations,Station_Count
Ed Sheeran - Azizam,8,"NOVA, P3, P4, SkalaFM",4
"Luvstruck, Carlprit - The Summer Is Magic",8,PartyFM,1
Ordinary - Alex Warren,6,"Radio100, TheVoice",2
Beautiful People - David Guetta and Sia,6,TheVoice,1
Lola Young - One Thing,6,P3,1
Alex Warren - Ordinary,5,"NOVA, P3, P4",3
Azizam - Ed Sheeran,5,"Radio100, TheVoice",2
Birds Of A Feather - Billie Eilish,5,"Radio100, TheVoice",2
Dasha - Austin,5,"NOVA, SkalaFM",2
Mark Ambor - Belong Together,5,"NOVA, SkalaFM",2
Nice To Meet You - Myles Smith,5,"Radio100, TheVoice",2
Austin - Dasha,4,"Radio100, TheVoice",2
Billie Eilish - BIRDS OF A FEATHER,4,"P3, SkalaFM",2
Sabrina Carpenter - Busy Woman,4,"P3, P4",2
Anxiety - Doechii,4,TheVoice,1
Taylor Swift - Anti-Hero,3,"P3, P4, SkalaFM",3
End Of The World - Miley Cyrus,3,"Radio100, TheVoice",2
Lady Gaga - Abracadabra,3,"P4, SkalaFM",2
Myles Smith - Nice To Meet You,3,"NOVA, P3",2
Myles Smith - Stargazing,3,"NOVA, SkalaFM",2
"Blessings - Calvin Harris, Clementine Douglas",3,TheVoice,1
Bruno Mars/Lady Gaga - Die With a Smile,3,SkalaFM,1
Myles Smith - Nice to Meet You,3,SkalaFM,1
Revolving Door - Tate McRae,3,TheVoice,1
Sabrina Carpenter - Taste,3,SkalaFM,1
Tell Me - Sonny Fodera and Clementine Douglas,3,TheVoice,1
As Long As You Love Me - Backstreet Boys,2,"PopFM, Radio100",2
Beautiful Things - Benson Boone,2,"Radio100, TheVoice",2
Dancing In The Dark - Bruce Springsteen,2,"PopFM, Radio100",2
Dasha - Not At This Party,2,"NOVA, P4",2
Drew Sycamore - Change The World,2,"NOVA, P4",2
Flying - Nice Little Penguins,2,"PopFM, Radio100",2
Heaven Is A Place On Earth - Belinda Carlisle,2,"PopFM, Radio100",2
I Had Some Help - Post Malone ft. Morgan Wallen,2,"Radio100, TheVoice",2
If I Let You Go - Westlife,2,"PopFM, Radio100",2
Lewis Capaldi - Someone You Loved,2,"NOVA, SkalaFM",2
Mario - Let Me Love You,2,"NOVA, SkalaFM",2
Nelly Furtado - Say It Right,2,"P3, SkalaFM",2
Noah Kahan - Stick Season,2,"NOVA, SkalaFM",2
