Artist,Title
Blæst,Vi ku' gå hele vejen
Benjamin Hav ft. Lukas Graham,Du Ligner Din Mor
Omar ft. Mumle,Hele Vejen
Jonah Blacksmith,Up
Blæst,Elsker Dig Så Meget
Malte Ebert,Er det mig du elsker?
Malte Ebert,Fortæl Mig Hvis Du Vil Noget Andet
Marcus.wav,Det sker alt for tit
Svea S,Det ønsker jeg for dig
Lord Siva,California Dreamin'
Svea S,Det ønsker jeg for dig
APHACA,Smelter under månen
Annika,Luk Mig Ind
Men At Work,Down Under
Karla Korsbak,Hen til det
"Kind Mod Kind, Medina",Love Isn't Easy
Ray Dee Ohh,Mandags-Stævnemøde
Mumle,Det Modsatte
Dodo and The Dodos,Sømand Af Verden
APHACA,En drøm om et menneske
"Anton Westerlin, Annika",Blodigt
August Høyen,Gav det et skud
Benjamin Hav ft. Lukas Graham,Du Ligner Din Mor
Benjamin Hav ft. Lukas Graham,Du ligner din mor
Benson Boone,Sorry I'm Here For Someone Else
"Anton Westerlin, Annika",Blodigt
Blæst,Vi Ku' Gå Hele Vejen
Anton Westerlin ft. Lamin and ozzy,Entré
Mø,Lose Yourself
"Tobias Rahim, Kabusa Oriental Choir",Regntid
"Tobias Rahim, Kabusa Oriental Choir",Regntid
ozzy,Mit ord
APHACA,Et sted hvor vi de første
"Bryan Adams, Rod Stewart and Sting",All For Love
Thor Farlov ft. Noah Carter,Alt Det
Andreas Odbjerg,Hjem Fra Fabrikken
Andreas Odbjerg,smugryger
Annika Aakjær,POP
Aphaca,Smelter Under Månen
Ariana Grande,we can't be friends (wait for your love)
Aura,Song For Sophie
BLÆST,Elsker dig så meget
BURHAN G,Ikke i nat ikke endnu
Back To Back,En elsker som dig
Barbara Moleko,Gør mig lykkelig
Berg,Koldblodet Killer
Bifald,Tænker du mon nogensinde på os
Bille & Buss,Den Lille Gumbas Feat. Botoft (Kontaktflade Mix)
Blæst,Elsker dig så meget
Blæst,Sover du nu
Boogie Bros,Fight for Your Right (RainDropz! Bootleg Remix Edit)
Brother Louie,Modern Talking
Burhan G ft. Nik and Jay,Jeg Vil Ha' Dig For Mig Selv
CHRISTOPHER,Ghost
CHRISTOPHER,Lose a you
Carl Emil Petersen,Finale på et filmset
Cheri Cheri Lady,Modern Talking
Christian Hjelm,Sjældne syner
Christian Juncker,Mogens og Karen
Christopher,Lose A You
Christopher,ONE
Christopher and Thor Farlov,Hvor Var Jeg Endt
Citybois,Sig mig
Clara Sofie/Rune RK,Når Tiden Går Baglæns
Clemens,Ubetinget
Madonna,Crazy For You
DIRTY Sound System,Waiting for Love (Technoposse Remix Edit)
DJ Spiller/Sophie Ellis-Bextor/Spiller,Groovejet (If This Ain't Love)
Danser Med Piger,Danser Med Piger
Kærlighed & krig,Danser Med Piger
De Her Timer,Lamin
Søs Fenger and Thomas Helmig,"Den Jeg Elsker, Elsker Jeg"
Der Kommissar,Falco
Thomas Helmig,Det er mig der står herude og banker på
Dig & Mig,Dieters Lieder
Kvinder Og Kanoner (feat. Barbara Moleko),Djämes Braun
Djämes Braun,Lytter ikk' til dem
Dodo & The Dodo's,Giv mig hvad du har
Dos Santos,Falder I
Dos Santos,Folder Mine Hænder
Lis Sørensen,Du Tænder Lys
EMIL STABIL,Allerede is
Ella Augusta,Baglæns
Rocazino,Elsk Mig I Nat
Eminem,Sing For The Moment
Malte Ebert,Er Det Mig Du Elsker?
James Hype ft. Miggy Dela Rosa,Ferrari
Sting,Fields Of Gold
Flesh for Fantasy,Billy Idol
Ganger,Elsker dig for evigt
Gilli,Kender ik' i morgen
Gilli,Rene Hjerter
Dodo and The Dodos,Giv Mig Hvad Du Har
Gobs,Tro På Kærlighed
Nephew ft. Marie Key,Gå Med Dig
HJALMER,Samme fejl
HJALMER,Som at sove på hotel (Rasmus Skøtt remix)
"Hej Matematik, Ankerstjerne",Det blir en go dag
Hjalmer,Aldrig alene
Hjalmer,Kom Sommer
Dodo and The Dodos,Hvis Det Bli'r
Sanne Salomonsen,Hvis du forstod
Danser med drenge,Hvorlænge Vil Du Ydmyge Dig
Spandau Ballet,I'll Fly For You
IDA LAURBERG / ANDREAS ODBJERG,Jeg ka' rigtig godt li' dig
INFERNAL,Ten miles
If I Was,Midge Ure
Infernal,From Paris to Berlin
JONAH BLACKSMITH,House on fire
Jada,I'm Back
Jada,Keep Cool
Jada,Nudes
Jada,On Me
Jeg PrØver Igen,Danseorkestret
Jeg elsker dig,News
Ray Dee Ohh,Jeg vil la' lyset brænde
Jonah Blacksmith,House On Fire
Jonah Blacksmith,Yellow Bike
Juncker,Mogens og Karen
Justified And Ancient,Klf ft. Tammy Wynette
Jyden,Sommer
Jyderne,Æ Hjem og Sove
KRYD,Ikke nogens mere
Skriv det på min gravsten,KRYD
KYGO / WHITNEY HOUSTON,Higher love
Karl William,Om igen
Kato & Electric Lady Lab,Alive
"Kesi, Gilli",Su Casa
LUKAS GRAHAM,Lie
Lamin,De her timer
Let's Hear It For The Boy,Deniece Williams
Lord Siva,Solhverv
Alex Warren,Ordinary
Lukas Graham,You You You
MADS LANGER,Eyes closed
MADS LANGER,Hanging with you
MARIE KEY,Uden forsvar
MEDINA,Velkommen til Medina
MGMT,Kids
Fra Jylland til København,MUMLE
MYLES SMITH,Wait for you
Mads Langer,3 AM
Lean On Feat. Mø,Major Lazer X DJ Snake
Malte Ebert,Mindst Ondt
"Marquis de Sade, Anne Linnet",Venus
Medina,Det smukkeste
Medina,Jalousi
Medina,Kun For Mig
Medina,Kun for mig
Medina,Når intet er godt nok
Medina,Vi To
Midt i en drøm,One Two
Kim Larsen,Midt om natten
Mig & Vennerne,Dieters Lieder
Mightyfools & Cumfiesta,MEGA Super Lækker (Volde Bootleg
Mille,Drikker med mig selv
Lis Sørensen,Mine øjne de skal se
Money For Nothing,Dire Straits
Mumle,Dårligt Match
Mumle,Et for dig
MØ,Final Song
MØ / BIIG PIIG,Sweet
"MØ, Diplo",Sun In Our Eyes
NATASJA,Op med ho'det
NOAH,Før vi falder
Natasja,Op med ho'det
"Natasja, Tessa, Karen Mukupa",Til banken
"Nephew, Marie Key",Gå med dig
Nik & Jay,Hot
Nik & Jay,Magisk
OMAR,Samsø
Omar ft. Mumle,Hele Vejen
Mariah Carey and Boyz ll Men,One Sweet Day
PAGE FOUR,Fucking smuk
Fri mand,PIND
Sand kærlighedshistorie,Peter Sommer
Pil,Gangen
Pil,Når du går herfra (Nattely)
Pil,Når jeg vågner II
Pil/Public Image Ltd.,Dronning Af Månen
Rasmus Nøhr,Sommer i Europa
Rasmus Seebach,Falder
Rasmus Seebach,Olivia
Held & Lykke,SASO
SASO,I'm So Bored
SCARLET PLEASURE,Heat
SKINZ,Åboulevarden
Whitney Houston,Saving All My Love For You
Scarlet Pleasure,Discoteca
Scarlet Pleasure,Summertime
Scarlet Pleasure/Suzane,What a Life
Shaka Loveless,Dengang du græd
Shout,Tears For Fears
Sivas,Sidste timer
Skinz,Åboulevarden
Soleima,Livet begynder
Stella,Sign Here
Lord Siva,Stjernerne
Stor Mand,Tobias Rahim ft. Andreas Odbjerg
Suspekt ft. URO,Tænker Ik På Andre
"Suspekt, URO",Tænker Ik På Andre
Svea S & Burhan G,Det Ønsker Jeg For Dig
Så gik der tid med det,Tøsedrengene
TOBIAS RAHIM,Vi 1
De første kærester på månen,TV2
Tessa,Ben
Tessa,Set Mer Feat. Jesper Livid
Under din sne,The Minds Of 99
Calvin Harris ft. Rihanna,This Is What You Came For
Hvis du ringer på mandag,Thomas Buttenschøn
Thomas Helmig,Gold Digger
Thomas Helmig,Stupid Man
Thøger Dixgaard,Former
Tobias Rahim,STOR MAND
Tobias Rahim,Stimulanser Feat. Ida Laurberg
Tobias Rahim,VI 1
Twenty One Pilots,Heathens
Tænker Ik På Andre,Suspekt ft. URO
Tobias Rahim ft. Delara,Tæt På
Lis Sørensen,Tæt på ækvator
UDE AF KONTROL / STEWART STARDUST,Mr. lummer
URO,Bare en dreng
URO,Godthåbsvej
Uro,Min Bror
VOLBEAT,Maybellene i hofteholder
Vance Joy,Riptide
Anne Linnet and Marquis de Sade,Venus
Dodo and The Dodos,Vi Gør Det Vi Kan Li'
Medina,Vi To
Vild $mith,Klogere Nu
Vill Ha Dig,Drömhus
Dodo and The Dodos,Vågner I Natten
Xander,Det burde ikk være sådan her
You're Not Alone,Mads Langer
