Artist,Title
Ed Sheeran,Azizam
"Luvstruck, Carlprit",The Summer Is Magic
Alex Warren,Ordinary
David Guetta and Sia,Beautiful People
Lola Young,One Thing
Alex Warren,Ordinary
Ed Sheeran,Azizam
Billie Eilish,Birds Of A Feather
Dasha,Austin
Mark Ambor,Belong Together
Myles Smith,Nice To Meet You
Dasha,Austin
Billie Eilish,BIRDS OF A FEATHER
Sabrina Carpenter,Busy Woman
Doechii,Anxiety
Taylor Swift,Anti-Hero
Miley Cyrus,End Of The World
Lady Gaga,Abracadabra
Myles Smith,Nice To Meet You
Myles Smith,Stargazing
"Calvin Harris, Clementine Douglas",Blessings
"Bruno Mars, Lady Gaga",Die With a Smile
Myles Smith,Nice to Meet You
Tate McRae,Revolving Door
Sabrina Carpenter,Taste
Sonny Fodera and Clementine Douglas,Tell Me
Backstreet Boys,As Long As You Love Me
Beautiful Things,Benson Boone
Dancing In The Dark,Bruce Springsteen
Dasha,Not At This Party
Drew Sycamore,Change The World
Flying,Nice Little Penguins
Heaven Is A Place On Earth,Belinda Carlisle
Post Malone ft. Morgan Wallen,I Had Some Help
If I Let You Go,Westlife
Lewis Capaldi,Someone You Loved
Mario,Let Me Love You
Nelly Furtado,Say It Right
Noah Kahan,Stick Season
Rihanna,Love On The Brain
Bryan Adams,Run To You
Save Tonight,Eagle-Eye Cherry
Shawn Mendes,Treat You Better
Taylor Swift,I Knew You Were Trouble
The Look,Roxette
The Rhythm Of The Night,Corona
The Weeknd,Dancing In The Flames
Michael Jackson,They Don't Care About Us
Walking In Memphis,Marc Cohn
Kygo and Ava Max,Whatever
Zara Larsson,Lush Life
Ava Max/Kygo,Whatever
Benson Boone,Beautiful Things
Christopher,Lose A You
"David Guetta, Alphaville and Ava Max",Forever Young
Faustix & Rave Republic,Do You Think About Me
Lady GaGa and Bruno Mars,Die With A Smile
Lorde,What Was That
Miley Cyrus,End Of The World
Miley Cyrus,End of the World
Miley Cyrus,Flowers
ORA,Life Witness
Ravyn Lenae,Love Me Not
Saint clara,How I Love You
Tate McRae,Sports Car
Stumblin' In,CYRIL
"HUGEL, David Guetta, Kehlani, Daecolm",Think Of Me
Tiësto/Teddy Swims,Lose Control
