Artist,Date,Title
Avril Lavigne,2025-01-01,Complicated
Zara Larsson and David Guetta,2025-01-01,On My Love
Ed Sheeran,2025-01-01,Shape Of You
Uro,2025-01-01,Min Bror
Mark Ambor,2025-01-01,Belong Together
eminem,2025-01-01,The Real Slim Shady
Dasha,2025-01-01,Not At This Party
The Script,2025-01-01,The Man Who Can't Be Moved
Christopher,2025-01-01,Lose A You
Kygo and Ava Max,2025-01-01,Whatever
LeAnn Rimes,2025-01-01,Can't Fight The Moonlight
Drew Sycamore,2025-01-01,Another Lovesong
Flo Rida ft. Sia,2025-01-01,Wild Ones
Miley Cyrus,2025-01-01,End Of The World
Rema and Selena Gomez,2025-01-01,Calm Down
Imagine Dragons,2025-01-01,On Top Of The World
Myles Smith,2025-01-01,Nice To Meet You
Alex Warren ft. Ella Henderson,2025-01-01,Carry You Home
Westlife,2025-01-01,World Of Our Own
Billie Eilish,2025-01-01,Birds Of A Feather
Fergie,2025-01-01,Big Girls Don't Cry
Glass Animals,2025-01-01,Heat Waves
Dasha,2025-01-01,Austin
Drew Sycamore,2025-01-01,Lonely Heat
Noah Kahan,2025-01-01,Stick Season
Jubel ft. Neimy,2025-01-01,Dancing In The Moonlight
Jax Jones ft. MNEK,2025-01-01,Where Did You Go
Katy Perry,2025-01-01,Teenage Dream
Alex Warren,2025-01-01,Ordinary
Lost Frequencies,2025-01-01,Are You With Me
B.O.B. ft. Hayley Williams,2025-01-01,Airplanes
Benson Boone,2025-01-01,Beautiful Things
Rihanna,2025-01-01,Only Girl
Dua Lipa,2025-01-01,Houdini
The Weeknd,2025-01-01,Dancing In The Flames
Iyaz,2025-01-01,Replay
Teddy Swims,2025-01-01,The Door
Bruno Mars,2025-01-01,Just The Way You Are
Chappell Roan,2025-01-01,"Good Luck, Babe!"
OneRepublic,2025-01-01,Counting Stars
Jordin Sparks and Chris Brown,2025-01-01,No Air
Avicii vs. Nicki Romero,2025-01-01,I Could Be The One
Justin Timberlake,2025-01-01,Mirrors
Tobias Rahim ft. Andreas Odbjerg,2025-01-01,Stor Mand
Jonah Blacksmith,2025-01-01,Yellow Bike
Shaboozey,2025-01-01,A Bar Song
Drew Sycamore,2025-01-01,Perfect Disaster
David Guetta ft. MistaJam ft. John Newman,2025-01-01,If You Really Love Me
Drew Sycamore,2025-01-01,Change The World
"Robin Schulz, Lilly Wood, The Prick",2025-01-01,Prayer In C
P!nk,2025-01-01,Never Gonna Not Dance Again
Mabel,2025-01-01,Don't Call Me Up
Joel Corry and MNEK,2025-01-01,Head & Heart
Calvin Harris ft. Rag'n'Bone Man,2025-01-01,Lovers In A Past Life
The Calling,2025-01-01,Wherever You Will Go
Loreen,2025-01-01,Euphoria
C21,2025-01-01,Stuck In My Heart
C21,2025-01-01,One of Us Is Lonely
Eric Prydz,2025-01-01,Call On Me
Selena Gomez ft. Marshmello,2025-01-01,Wolves
Calum Scott,2025-01-01,Dancing On My Own
Black Eyed Peas,2025-01-01,Where Is The Love
Christopher,2025-01-01,Fall So Hard
Clean Bandit ft. Zara Larsson,2025-01-01,Symphony
Lady Gaga ft. Colby O' Donis,2025-01-01,Just Dance
Drew Sycamore,2025-01-01,Take It Back
Eminem ft. Rihanna,2025-01-01,The Monster
Westlife,2025-01-01,When You're Looking Like That
Zedd and Grey ft. Maren Moris,2025-01-01,The Middle
Jonah Blacksmith,2025-01-01,House On Fire
Lewis Capaldi,2025-01-01,Someone You Loved
Avril Lavigne,2025-01-02,Complicated
Zara Larsson and David Guetta,2025-01-02,On My Love
Ed Sheeran,2025-01-02,Shape Of You
Uro,2025-01-02,Min Bror
Mark Ambor,2025-01-02,Belong Together
eminem,2025-01-02,The Real Slim Shady
Dasha,2025-01-02,Not At This Party
The Script,2025-01-02,The Man Who Can't Be Moved
Christopher,2025-01-02,Lose A You
Kygo and Ava Max,2025-01-02,Whatever
LeAnn Rimes,2025-01-02,Can't Fight The Moonlight
Drew Sycamore,2025-01-02,Another Lovesong
Flo Rida ft. Sia,2025-01-02,Wild Ones
Miley Cyrus,2025-01-02,End Of The World
Rema and Selena Gomez,2025-01-02,Calm Down
Imagine Dragons,2025-01-02,On Top Of The World
Myles Smith,2025-01-02,Nice To Meet You
Alex Warren ft. Ella Henderson,2025-01-02,Carry You Home
Westlife,2025-01-02,World Of Our Own
Billie Eilish,2025-01-02,Birds Of A Feather
Fergie,2025-01-02,Big Girls Don't Cry
Glass Animals,2025-01-02,Heat Waves
Drew Sycamore,2025-01-02,Lonely Heat
Noah Kahan,2025-01-02,Stick Season
