Repeats,Track
142,Westlife - When You're Looking Like That
142,Drew Sycamore - Take It Back
142,Avicii vs. Nicki Romero - I Could Be The One
142,The Script - The Man Who Can't Be Moved
142,Loreen - Euphoria
142,Calum Scott - Dancing On My Own
142,Kygo and Ava Max - Whatever
142,Lost Frequencies - Are You With Me
142,Glass Animals - Heat Waves
142,Jubel ft. Neimy - Dancing In The Moonlight
142,Noah Kahan - Stick Season
142,The Calling - Wherever You Will Go
142,Black Eyed Peas - Where Is The Love
142,Imagine Dragons - On Top Of The World
142,Rema and Selena Gomez - Calm Down
142,Christopher - Fall So Hard
142,Dasha - Not At This Party
142,Teddy Swims - The Door
142,Eric Prydz - Call On Me
142,Miley Cyrus - End Of The World
142,LeAnn Rimes - Can't Fight The Moonlight
142,Calvin Harris ft. Rag'n'Bone Man - Lovers In A Past Life
142,Drew Sycamore - Another Lovesong
142,eminem - The Real Slim Shady
142,Alex Warren - Ordinary
142,David Guetta ft. MistaJam ft. John Newman - If You Really Love Me
142,Uro - Min Bror
142,Mark Ambor - Belong Together
142,Tobias Rahim ft. Andreas Odbjerg - Stor Mand
142,Christopher - Lose A You
142,Zedd and Grey ft. Maren Moris - The Middle
142,Justin Timberlake - Mirrors
142,Joel Corry and MNEK - Head & Heart
142,C21 - Stuck In My Heart
142,"Robin Schulz, Lilly Wood, The Prick - Prayer In C"
142,Selena Gomez ft. Marshmello - Wolves
142,Iyaz - Replay
142,Jordin Sparks and Chris Brown - No Air
142,Benson Boone - Beautiful Things
142,Westlife - World Of Our Own
142,Jonah Blacksmith - House On Fire
142,Drew Sycamore - Change The World
142,Fergie - Big Girls Don't Cry
142,Drew Sycamore - Lonely Heat
142,Bruno Mars - Just The Way You Are
142,Alex Warren ft. Ella Henderson - Carry You Home
142,Ed Sheeran - Shape Of You
142,The Weeknd - Dancing In The Flames
142,Eminem ft. Rihanna - The Monster
142,C21 - One of Us Is Lonely
142,Myles Smith - Nice To Meet You
142,Avril Lavigne - Complicated
142,Flo Rida ft. Sia - Wild Ones
142,Billie Eilish - Birds Of A Feather
142,Zara Larsson and David Guetta - On My Love
142,P!nk - Never Gonna Not Dance Again
142,Jonah Blacksmith - Yellow Bike
142,OneRepublic - Counting Stars
142,Mabel - Don't Call Me Up
141,B.O.B. ft. Hayley Williams - Airplanes
141,Shaboozey - A Bar Song
140,Jax Jones ft. MNEK - Where Did You Go
139,Dua Lipa - Houdini
139,Rihanna - Only Girl
115,The Weeknd - Blinding Lights
109,Dasha - Austin
107,Katy Perry - Teenage Dream
104,Lewis Capaldi - Someone You Loved
83,Dermot Kennedy - Outnumbered
78,"Coldplay, Little Simz, Burna Boy, Elyanna, Tini - We Pray"
69,Lady Gaga ft. Colby O' Donis - Just Dance
46,"Chappell Roan - Good Luck, Babe!"
36,Mike Posner ft. SeeB - I Took A Pill In Ibiza
35,Drew Sycamore - Perfect Disaster
29,Clean Bandit ft. Zara Larsson - Symphony
15,Mary J. Blige - Family Affair
9,Lady GaGa and Bruno Mars - Die With A Smile
8,Ed Sheeran - Eyes Closed
5,Maroon 5 ft. Lisa - Priceless
1,Harry Styles - Watermelon Sugar
1,Drew Sycamore - I Wanna Be Dancing
