Track,Repeats
Lola Young - One Thing,6
Sabrina Carpenter - Busy Woman,3
Lorde - What Was That,2
Alex Warren - Ordinary,2
Ravyn Lenae - Love Me Not,2
Ed Sheeran - Azizam,2
ORA - Life Witness,2
The Weeknd - Dancing In The Flames,1
FKA twigs - Perfect Stranger,1
Dua Lipa - Be The One,1
Taylor Swift - I Knew You Were Trouble,1
"Pitbull, Chris Brown - International Love",1
"Mark Ronson, Amy Winehouse - Valerie",1
Myles Smith - Nice To Meet You,1
"JOSVA, Artigeardit - Lonely",1
"Pitbull, Marc Anthony - Rain Over Me",1
Billie Eilish - BIRDS OF A FEATHER,1
Alicia Keys - If I Ain't Got You,1
Romy - She's On My Mind,1
Debbii Dawson - You Killed The Music,1
Alex Warren - Burning Down,1
Tyla - Water,1
"Lady Gaga, Colby O'Donis - Just Dance",1
"JENNIE, Dua Lipa - Handlebars",1
"Justin Bieber, Giveon, Daniel Caesar - Peaches",1
Justin Timberlake - What Goes Around.../..Comes Around (Interlude),1
"Katy Perry, Skip Marley - Chained To The Rhythm",1
Coldplay - Clocks,1
"Rihanna, Calvin Harris - We Found Love",1
FOOL - Worry,1
DAYYANI - Nobody Kills Me Like You Do,1
Aloe Blacc - I Need A Dollar,1
"Sam Smith, Normani Hamilton - Dancing With A Stranger",1
Sira Jovina - Don't Go,1
Brimheim - Literally Everything,1
"The Weeknd, Daft Punk - Starboy",1
Olivia Rodrigo - vampire,1
SZA - BMF,1
ORA - Under The Influence,1
Shawn Mendes - Treat You Better,1
ROYA - Feel Something,1
Beyoncé - Irreplaceable,1
Benal - Nu her,1
Taylor Swift - Anti-Hero,1
Nelly Furtado - Say It Right,1
Ameli Dot - Hanging With Myself,1
"Elton John, Dua Lipa - Cold Heart (PNAU Remix)",1
Zuloo - CHECK,1
Mike Posner - I Took A Pill In Ibiza (SeeB Remix),1
Rihanna - Love On The Brain,1
Hozier - Take Me To Church,1
