Date,Time,Artist,Title
2025-05-23,00:00,Lorde,What Was That
2025-05-23,00:00,Lola Young,One Thing
2025-05-23,00:00,Sabrina Carpenter,Busy Woman
2025-05-23,00:00,Gilli,Kender ik' i morgen
2025-05-23,00:00,"Tobias Rahim, Kabusa Oriental Choir",Regntid
2025-05-23,00:00,APHACA,Smelter under månen
2025-05-23,00:00,Frank Ocean,Lost
2025-05-23,00:00,Tessa,Ben
2025-05-23,00:00,Alex Warren,Ordinary
2025-05-23,00:00,Romy,She's On My Mind
2025-05-23,00:00,Artigeardit,Seaside
2025-05-23,00:00,Taylor Swift,I Knew You Were Trouble
2025-05-23,00:00,The Weeknd,Dancing In The Flames
2025-05-23,00:00,Ravyn Lenae,Love Me Not
2025-05-23,00:00,FKA twigs,Perfect Stranger
2025-05-23,00:00,Xander,Det burde ikk være sådan her
2025-05-23,00:00,ozzy,Mit ord
2025-05-23,00:00,Dua Lipa,Be The One
2025-05-23,00:00,"Pitbull, Chris Brown",International Love
2025-05-23,00:00,The Minds Of 99,Under din sne
2025-05-23,00:00,"Benjamin Hav, Lukas Graham",Du ligner din mor
2025-05-23,00:00,"Mark Ronson, Amy Winehouse",Valerie
2025-05-23,00:00,Lord Siva,California Dreamin'
2025-05-23,00:00,Blæst,Elsker dig så meget
2025-05-23,00:00,Myles Smith,Nice To Meet You
2025-05-23,00:00,"Suspekt, URO",Tænker Ik På Andre
2025-05-23,00:00,APHACA,En drøm om et menneske
2025-05-23,00:00,"Kind Mod Kind, Medina",Love Isn't Easy
2025-05-23,00:00,"JOSVA, Artigeardit",Lonely
2025-05-23,00:00,Ed Sheeran,Azizam
2025-05-23,00:00,"Pitbull, Marc Anthony",Rain Over Me
2025-05-23,00:00,Svea S,Det ønsker jeg for dig
2025-05-23,00:00,sombr,undressed
2025-05-23,00:00,Billie Eilish,BIRDS OF A FEATHER
2025-05-23,00:00,"Anton Westerlin, Annika",Blodigt
2025-05-23,00:00,Alicia Keys,If I Ain't Got You
2025-05-23,00:00,Lamin,De her timer
2025-05-23,00:00,Blæst,Vi ku' gå hele vejen
2025-05-23,00:00,"Snoop Dogg, Wiz Khalifa, Bruno Mars",Young Wild & Free
2025-05-23,00:00,Debbii Dawson,You Killed The Music
2025-05-23,00:00,Bastille,Pompeii
