Track,Repeats
August Høyen - Gav det et skud,2
"Svea S, Burhan G - Det ønsker jeg for dig",2
Benson Boone - Sorry I'm Here For Someone Else,2
Blæst - Vi ku' gå hele vejen,2
Jonah Blacksmith - Up,1
Thomas Helmig - Gold Digger,1
"Kind Mod Kind, Medina - Love Isn't Easy",1
Andreas Odbjerg - smugryger,1
Natasja - Op med ho'det,1
KRYD - Ikke nogens mere,1
Pil - Gangen,1
Malte Ebert - Er det mig du elsker?,1
Annika Aakjær - POP,1
Rasmus Seebach - Falder,1
Nik & Jay - Hot,1
Ganger - Elsker dig for evigt,1
Hjalmer - Aldrig alene,1
SASO - Held & Lykke,1
Christian Juncker - Mogens og Karen,1
Juncker - Mogens og Karen,1
Scarlet Pleasure - Summertime,1
Dodo & The Dodo's - Giv mig hvad du har,1
"Nephew, Marie Key - Gå med dig",1
"MØ, Diplo - Sun In Our Eyes",1
NOAH - Før vi falder,1
KRYD - Skriv det på min gravsten,1
Shaka Loveless - Dengang du græd,1
"Marquis de Sade, Anne Linnet - Venus",1
Christian Hjelm - Sjældne syner,1
Bifald - Tænker du mon nogensinde på os,1
Mads Langer - 3 AM,1
Peter Sommer - Sand kærlighedshistorie,1
Pil - Når jeg vågner II,1
Back To Back - En elsker som dig,1
Mumle - Et for dig,1
Lukas Graham - You You You,1
Christopher - ONE,1
Aura - Song For Sophie,1
Jonah Blacksmith - Yellow Bike,1
Medina - Når intet er godt nok,1
"Hej Matematik, Ankerstjerne - Det blir en go dag",1
Soleima - Livet begynder,1
Jada - I'm Back,1
Vance Joy - Riptide,1
Carl Emil Petersen - Finale på et filmset,1
Danser Med Piger - Kærlighed & krig,1
Thomas Helmig - Stupid Man,1
Djämes Braun - Lytter ikk' til dem,1
Marcus.wav - Det sker alt for tit,1
Nik & Jay - Magisk,1
Tobias Rahim - VI 1,1
Rasmus Nøhr - Sommer i Europa,1
Barbara Moleko - Gør mig lykkelig,1
Karla Korsbak - Hen til det,1
Thøger Dixgaard - Former,1
Thomas Buttenschøn - Hvis du ringer på mandag,1
Stella - Sign Here,1
