Track,Repeats
Vi Gør Det Vi Kan Li' - Dodo and The Dodos,1
I'll Fly For You - Spandau Ballet,1
Justified And Ancient - Klf ft. Tammy Wynette,1
Venus - Anne Linnet and Marquis de Sade,1
Vill Ha Dig - Drömhus,1
Money For Nothing - Dire Straits,1
"Den Jeg Elsker, Elsker Jeg - Søs Fenger and Thomas Helmig",1
Down Under - Men At Work,1
Fields Of Gold - Sting,1
Mig & Vennerne - Dieters Lieder,1
Du Tænder Lys - Lis Sørensen,1
Jeg vil la' lyset brænde - Ray Dee Ohh,1
Cheri Cheri Lady - Modern Talking,1
Sømand Af Verden - Dodo and The Dodos,1
Flesh for Fantasy - Billy Idol,1
Jeg PrØver Igen - Danseorkestret,1
Midt om natten - Kim Larsen,1
Så gik der tid med det - Tøsedrengene,1
Elsk Mig I Nat - Rocazino,1
Brother Louie - Modern Talking,1
Hvis Det Bli'r - Dodo and The Dodos,1
Mandags-Stævnemøde - Ray Dee Ohh,1
Jeg elsker dig - News,1
Hvis du forstod - Sanne Salomonsen,1
Tæt på ækvator - Lis Sørensen,1
If I Was - Midge Ure,1
Det er mig der står herude og banker på - Thomas Helmig,1
Crazy For You - Madonna,1
Let's Hear It For The Boy - Deniece Williams,1
One Sweet Day - Mariah Carey and Boyz ll Men,1
Shout - Tears For Fears,1
Vågner I Natten - Dodo and The Dodos,1
Der Kommissar - Falco,1
Saving All My Love For You - Whitney Houston,1
