Track,Repeats
With Or Without You - U2,1
Weak In The Presence Of Beauty - Alison Moyet,1
Dancing In The Dark - Bruce Springsteen,1
Running In The Family - Level 42,1
Tell Her About It - Billy Joel,1
Janet - The Commodores,1
I Want You - Savage Garden,1
Africa - Toto,1
Fading Like A Flower - Roxette,1
If This Is It - Huey Lewis and The News,1
The Best - Tina Turner,1
Save Tonight - Eagle-Eye Cherry,1
If I Let You Go - Westlife,1
Please Don't Leave Me - Pretty Maids,1
Give It Up - Kc and The Sunshine Band,1
The Rhythm Of The Night - Corona,1
The Way to Your Heart - Soulsister,1
Flying - Nice Little Penguins,1
Never Gonna Give You Up - Rick Astley,1
They Don't Care About Us - Michael Jackson,1
"Let's Groove - Earth, Wind and Fire",1
High - Lighthouse Family,1
2 Become 1 - Spice Girls,1
Come On Eileen - Dexy's Midnight Runners,1
"Get Outta My Dreams, Get Into My Car - Billy Ocean",1
The Living Years - Mike and the Mechanics,1
Stuck With You - Huey Lewis and The News,1
...Baby One More Time - Britney Spears,1
Another Day In Paradise - Phil Collins,1
Perfect - Fairground Attraction,1
All That She Wants - Ace Of Base,1
Don't Get Me Wrong - The Pretenders,1
Only You - Yazoo,1
Falling In Love - Ub40,1
Somebody's Watching Me - Rockwell,1
The Look - Roxette,1
Love Is A Stranger - Eurythmics,1
Flashdance...What A Feeling - Irene Cara,1
"Baby, I Love Your Way - Big Mountain",1
Every Breath You Take - The Police,1
Walking In Memphis - Marc Cohn,1
If You Leave - Orchestral Manoeuvres In The Dark,1
Material Girl - Madonna,1
Stop Loving You - Toto,1
Heaven Is A Place On Earth - Belinda Carlisle,1
I Knew I Loved You - Savage Garden,1
Everything Counts - Depeche Mode,1
You Came - Kim Wilde,1
Don't Leave Tonight - Thomas Helmig,1
Slave To Love - Bryan Ferry,1
Life's What You Make It - Talk Talk,1
As Long As You Love Me - Backstreet Boys,1
Beat It - Michael Jackson,1
Shattered Dreams - Johnny Hates Jazz,1
Angels - Robbie Williams,1
Hey Little Girl - Icehouse,1
I'm Your Baby Tonight - Whitney Houston,1
Hold Me Now - Johnny Logan,1
China In Your Hand - T'Pau,1
Money's Too Tight - Simply Red,1
The Actor - Michael Learns to Rock,1
I'm Your Man - Wham!,1
Senza Una Donna - Zucchero and Paul Young,1
New Song - Howard Jones,1
Crazy - Britney Spears,1
What's Love Got To Do With It - Tina Turner,1
Step By Step - New Kids On The Block,1
You Spin Me Round - Dead Or Alive,1
Kiss - Prince and The Revolution,1
Promise Me - Beverley Craven,1
Need You Tonight - Inxs,1
Caribbean Queen - Billy Ocean,1
I've Been Thinking About You - Londonbeat,1
Billy Boy - One Two,1
Man In The Mirror - Michael Jackson,1
I Want It That Way - Backstreet Boys,1
Hungry Heart - Bruce Springsteen,1
Living On My Own - Freddie Mercury,1
The Power Of Love - Huey Lewis and The News,1
You'll Be In My Heart - Phil Collins,1
Kokomo - The Beach Boys,1
Maria - Ricky Martin,1
Run To You - Bryan Adams,1
