Date,Time,Artist,Title
2025-05-23,00:22,Run To You,Bryan Adams
2025-05-23,00:25,Maria,Ricky Martin
2025-05-23,00:29,Kokomo,The Beach Boys
2025-05-23,00:32,Saving All My Love For You,Whitney Houston
2025-05-23,00:36,You'll Be In My Heart,Phil Collins
2025-05-23,00:40,The Power Of Love,Huey Lewis and The News
2025-05-23,00:44,Der Kommissar,Falco
2025-05-23,00:49,Living On My Own,Freddie Mercury
2025-05-23,00:52,Vågner I Natten,Dodo and The Dodos
2025-05-23,00:55,Shout,Tears For Fears
2025-05-23,00:59,One Sweet Day,Mariah Carey and Boyz ll Men
2025-05-23,01:04,Let's Hear It For The Boy,Deniece Williams
2025-05-23,01:08,Hungry Heart,Bruce Springsteen
2025-05-23,01:11,I Want It That Way,Backstreet Boys
2025-05-23,01:16,Just Can't Get Enough,Depeche Mode
2025-05-23,01:19,Man In The Mirror,Michael Jackson
2025-05-23,01:23,Footloose,Kenny Loggins
2025-05-23,01:26,Lemon Tree,Fool's Garden
2025-05-23,01:30,Billy Boy,One Two
2025-05-23,01:33,Crazy For You,Madonna
2025-05-23,01:37,I've Been Thinking About You,Londonbeat
2025-05-23,01:40,Det er mig der står herude og banker på,Thomas Helmig
2025-05-23,01:44,Fade To Grey,Visage
2025-05-23,01:48,My Destiny,Lionel Richie
2025-05-23,01:52,Caribbean Queen,Billy Ocean
2025-05-23,01:55,Need You Tonight,Inxs
2025-05-23,01:58,Promise Me,Beverley Craven
2025-05-23,02:03,If I Was,Midge Ure
2025-05-23,02:07,Kiss,Prince and The Revolution
2025-05-23,02:12,Black Velvet,Alannah Myles
2025-05-23,02:16,You Spin Me Round,Dead Or Alive
2025-05-23,02:24,Tæt på ækvator,Lis Sørensen
2025-05-23,02:27,Step By Step,New Kids On The Block
2025-05-23,02:30,Self Control,Laura Branigan
2025-05-23,02:34,Woman,John Lennon
2025-05-23,02:38,Dansevise,Lars H.U.G.
2025-05-23,02:41,What's Love Got To Do With It,Tina Turner
2025-05-23,02:46,Crazy,Britney Spears
2025-05-23,02:50,New Song,Howard Jones
2025-05-23,02:54,Hvis du forstod,Sanne Salomonsen
2025-05-23,02:57,Senza Una Donna,Zucchero and Paul Young
2025-05-23,03:02,Broken Wings,Mr. Mister
2025-05-23,03:06,I'm Your Man,Wham!
2025-05-23,03:09,The Actor,Michael Learns to Rock
2025-05-23,03:13,Money's Too Tight,Simply Red
2025-05-23,03:16,China In Your Hand,T'Pau
2025-05-23,03:20,Be My Baby,Vanessa Paradis
2025-05-23,03:25,Jeg elsker dig,News
2025-05-23,03:29,Hold Me Now,Johnny Logan
2025-05-23,03:32,I'm Your Baby Tonight,Whitney Houston
2025-05-23,03:36,Land Of Confusion,Genesis
2025-05-23,03:41,Mandags-Stævnemøde,Ray Dee Ohh
2025-05-23,03:45,Summer Son,Texas
2025-05-23,03:49,Hey Little Girl,Icehouse
2025-05-23,03:52,Hvis Det Bli'r,Dodo and The Dodos
2025-05-23,03:56,Angels,Robbie Williams
2025-05-23,04:00,Brother Louie,Modern Talking
2025-05-23,04:04,Shattered Dreams,Johnny Hates Jazz
2025-05-23,04:08,Dreamlover,Mariah Carey
2025-05-23,04:12,Super Trouper,Abba
2025-05-23,04:16,Beat It,Michael Jackson
2025-05-23,04:20,Bag duggede ruder,TV-2
2025-05-23,04:24,As Long As You Love Me,Backstreet Boys
2025-05-23,04:27,Life's What You Make It,Talk Talk
2025-05-23,04:30,Slave To Love,Bryan Ferry
2025-05-23,04:34,Don't Leave Tonight,Thomas Helmig
2025-05-23,04:37,You Came,Kim Wilde
2025-05-23,04:41,Dolce Vita,Ryan Paris
2025-05-23,04:45,Mambo No. 5,Lou Bega
2025-05-23,04:49,Elsk Mig I Nat,Rocazino
2025-05-23,04:53,Everything Counts,Depeche Mode
2025-05-23,04:57,I Knew I Loved You,Savage Garden
2025-05-23,05:01,Heaven Is A Place On Earth,Belinda Carlisle
2025-05-23,05:05,Stop Loving You,Toto
2025-05-23,05:09,Lygtemandens sang,Gnags
2025-05-23,05:14,Material Girl,Madonna
2025-05-23,05:17,If You Leave,Orchestral Manoeuvres In The Dark
2025-05-23,05:22,Walking In Memphis,Marc Cohn
2025-05-23,05:25,Så gik der tid med det,Tøsedrengene
2025-05-23,05:30,Every Breath You Take,The Police
2025-05-23,05:34,"Baby, I Love Your Way",Big Mountain
2025-05-23,05:38,Flashdance...What A Feeling,Irene Cara
2025-05-23,05:42,Midt om natten,Kim Larsen
2025-05-23,05:45,Love Is A Stranger,Eurythmics
2025-05-23,05:50,The Look,Roxette
2025-05-23,05:54,Jeg PrØver Igen,Danseorkestret
2025-05-23,05:57,Flesh for Fantasy,Billy Idol
2025-05-23,06:03,Somebody's Watching Me,Rockwell
2025-05-23,06:09,Falling In Love,Ub40
2025-05-23,06:14,Only You,Yazoo
2025-05-23,06:19,Don't Get Me Wrong,The Pretenders
2025-05-23,06:23,All That She Wants,Ace Of Base
2025-05-23,06:28,Perfect,Fairground Attraction
2025-05-23,06:32,Jag Blir Hellre Jagad Av Vargar,Orup
2025-05-23,06:37,Another Day In Paradise,Phil Collins
2025-05-23,06:41,...Baby One More Time,Britney Spears
2025-05-23,06:47,Stuck With You,Huey Lewis and The News
2025-05-23,06:51,Sømand Af Verden,Dodo and The Dodos
2025-05-23,06:56,Ooh Aah...just A Little Bit,Gina G
2025-05-23,07:04,The Living Years,Mike and the Mechanics
2025-05-23,07:09,Cheri Cheri Lady,Modern Talking
2025-05-23,07:15,"Get Outta My Dreams, Get Into My Car",Billy Ocean
2025-05-23,07:19,Jeg vil la' lyset brænde,Ray Dee Ohh
2025-05-23,07:23,Come On Eileen,Dexy's Midnight Runners
2025-05-23,07:28,2 Become 1,Spice Girls
2025-05-23,07:38,High,Lighthouse Family
2025-05-23,07:41,Let's Groove,"Earth, Wind and Fire"
2025-05-23,07:44,Du Tænder Lys,Lis Sørensen
2025-05-23,07:47,Millennium,Robbie Williams
2025-05-23,07:52,St. Elmo's Fire,John Parr
2025-05-23,07:57,They Don't Care About Us,Michael Jackson
2025-05-23,08:05,Mig & Vennerne,Dieters Lieder
2025-05-23,08:09,Papa Don't Preach,Madonna
2025-05-23,08:14,Never Gonna Give You Up,Rick Astley
2025-05-23,08:21,Flying,Nice Little Penguins
2025-05-23,08:25,Fields Of Gold,Sting
2025-05-23,08:32,The Way to Your Heart,Soulsister
2025-05-23,08:39,The Rhythm Of The Night,Corona
2025-05-23,08:42,Down Under,Men At Work
2025-05-23,08:47,Give It Up,Kc and The Sunshine Band
2025-05-23,08:51,Please Don't Leave Me,Pretty Maids
2025-05-23,08:56,"Den Jeg Elsker, Elsker Jeg",Søs Fenger and Thomas Helmig
2025-05-23,09:04,If I Let You Go,Westlife
2025-05-23,09:10,Money For Nothing,Dire Straits
2025-05-23,09:14,Save Tonight,Eagle-Eye Cherry
2025-05-23,09:18,The Best,Tina Turner
2025-05-23,09:22,Vill Ha Dig,Drömhus
2025-05-23,09:27,Invisible Touch,Genesis
2025-05-23,09:31,If This Is It,Huey Lewis and The News
2025-05-23,09:35,Venus,Anne Linnet and Marquis de Sade
2025-05-23,09:39,Justified And Ancient,Klf ft. Tammy Wynette
2025-05-23,09:43,99 Luftballons,Nena
2025-05-23,09:48,I'll Fly For You,Spandau Ballet
2025-05-23,09:52,Fading Like A Flower,Roxette
2025-05-23,09:57,Africa,Toto
2025-05-23,10:03,I Want You,Savage Garden
2025-05-23,10:08,Be Babalula,TV-2
2025-05-23,10:12,Janet,The Commodores
2025-05-23,10:16,Tell Her About It,Billy Joel
2025-05-23,10:20,Vi Gør Det Vi Kan Li',Dodo and The Dodos
2025-05-23,10:24,Running In The Family,Level 42
2025-05-23,10:27,Dancing In The Dark,Bruce Springsteen
2025-05-23,10:31,Under Attack,Abba
2025-05-23,10:35,Mountain Song,Gangway
2025-05-23,10:39,Weak In The Presence Of Beauty,Alison Moyet
2025-05-23,10:43,With Or Without You,U2
