Track,Repeats
Glamorous - Fergie ft. Ludacris,2
Another Day In Paradise - Brandy and Ray J,2
No Letting Go - Wayne Wonder,2
My Boo - Usher ft. Alicia Keys,2
Miss Independent - Ne-Yo,2
Trick Me - Kelis,2
Hot In Here - Nelly,2
Hey Ma - Cam'ron,2
"1, 2 Step - Ciara ft. Missy Elliott",2
Heartbreaker - Mariah Carey ft. Jay-Z,1
Always On Time - Ja Rule ft. Ashanti,1
Never Knew Love Like This - Alexander O'Neal and Cherrelle,1
Love Like This - Faith Evans,1
Don't Walk Away - Jade,1
You Got Me - The Roots ft. Erykah Badu and Eve,1
Wifey - Next,1
Say My Name - Destiny's Child,1
Take A Bow - Rihanna,1
End Of The Road - Boyz ll Men,1
Jenny From The Block - Jennifer Lopez,1
Ready Or Not - Fugees,1
Yo - Chris Brown,1
That's The Way Love Goes - Janet Jackson,1
Try Again - Aaliyah,1
Hit 'Em Up Style - Blu Cantrell,1
Cry Me A River - Justin Timberlake,1
"Bills, Bills, Bills - Destiny's Child",1
Love Shoulda Brought You Home - Toni Braxton,1
Real Love - Mary J. Blige,1
I Know What You Want - Busta Rhymes and Mariah Carey,1
Candy Rain - Soul For Real,1
Waterfalls - TLC,1
Don't Let Go - En Vogue,1
Beautiful - Snoop Dogg ft. Pharell Williams,1
Rain - Swv,1
You Don't Know My Name - Alicia Keys,1
From The Heart - Another Level,1
Love In This Club - Usher ft. Young Jeezy,1
Freek'n You - Jodeci,1
I'm Sprung - T-pain,1
7 Days - Craig David,1
So Into You - Tamia,1
Who's That Girl - Eve,1
Don't Take It Personal - Monica,1
Leave - JoJo,1
Love Don't Cost A Thing - Jennifer Lopez ft. Ja Rule,1
No Air - Jordin Sparks and Chris Brown,1
"Me, Myself And I - Beyoncé",1
I Got 5 On It - Luniz ft. Michael Marshall,1
Differences - Ginuwine,1
Breathe Again - Toni Braxton,1
We Belong Together - Mariah Carey,1
Case Of The Ex - Mya,1
Get Busy - Sean Paul,1
This Is How We Do It - Montell Jordan,1
Brown Sugar - D'angelo,1
Soldier - Destiny's Child ft. T.I. and Lil Wayne,1
Have You Ever - Brandy,1
U Got It Bad - Usher,1
Fallin' - Alicia Keys,1
I'm Your Baby Tonight - Whitney Houston,1
Rock Wit U - Ashanti,1
Red Light Special - TLC,1
1 Thing - Amerie,1
Everything Is Everything - Lauryn Hill,1
Dip It Low - Christina Milian,1
I'm So Into You - Swv,1
Ms. Jackson - Outkast,1
Tell Me - Groove Theory,1
Crazy In Love - Beyoncé ft. Jay-Z,1
I'll Be There - Mariah Carey ft. Trey Lorenz,1
Rock The Boat - Aaliyah,1
Got 'Til It's Gone - Janet Jackson ft. Q-Tip and Joni Mitchell,1
Peaches & Cream - 112,1
How Deep Is Your Love - Dru Hill,1
Let Me Love You - Mario,1
"No, No, No - Destiny's Child ft. Wyclef Jean",1
Low - Flo Rida ft. T-Pain,1
I Wanna Be The Only One - Eternal ft. BeBe Winans,1
Run It! - Chris Brown ft. Juelz Santana,1
Feel So Good - Mase,1
U Remind Me - Usher,1
Where The Party At - Jagged Edge ft. Nelly,1
Family Affair - Mary J. Blige,1
U Know What's Up - Donell Jones,1
Ascension - Maxwell,1
Foolish - Ashanti,1
If You Were Here Tonight - Alexander O'Neal,1
Signs - Snoop Dogg ft. Justin Timberlake & Charlie Wilson,1
I Wanna Be Down - Brandy,1
Irreplaceable - Beyoncé,1
Move Ya Body - Nina Sky ft. Jabba,1
I Love Your Smile - Shanice,1
On & On - Erykah Badu,1
Breathe - Blu Cantrell ft. Sean Paul,1
Thong Song - Sisqo,1
Scandalous - Mis-Teeq,1
Georgy Porgy - Eric Benét ft. Faith Evans,1
It's Not Right But It's Okay - Whitney Houston,1
Oops - Tweet ft. Missy Elliott,1
You Make Me Wanna - Usher,1
Cater 2 U - Destiny's Child,1
Right Here/human Nature - Swv,1
Hate That I Love You - Rihanna and Ne-yo,1
Nobody Knows - The Toni Project,1
If I Ain't Got You - Alicia Keys,1
I Wanna Know - Joe,1
One Wish - Ray J,1
Too Close - Next,1
Full Moon - Brandy,1
Casanova - Ultimate Kaos,1
Shackles - Mary Mary,1
More Than A Woman - Aaliyah,1
Freak Like Me - Adina Howard,1
Let Me Blow Ya Mind - Eve ft. Gwen Stefani,1
You're Makin' Me High - Toni Braxton,1
What's Luv? - Fat Joe ft. Ashanti,1
All My Life - K-Ci and Jojo,1
Ice Box - Omarion,1
Honey - Mariah Carey,1
Girl - Destiny's Child,1
Doesn't Really Matter - Janet Jackson,1
AM To PM - Christina Milian,1
Doo Wop - Lauryn Hill,1
Sittin' Up In My Room - Brandy,1
The First Night - Monica,1
Return Of The Mack - Mark Morrison,1
Baby Boy - Beyoncé ft. Sean Paul,1
With You - Chris Brown,1
Phenomenon - LL Cool J,1
Senorita - Justin Timberlake,1
Back & Forth - Aaliyah,1
Be Without You - Mary J. Blige,1
No Diggity - Blackstreet ft. Dr. Dre and Queen,1
One Sweet Day - Mariah Carey and Boyz ll Men,1
Can't Let You Go - Fabolous ft. Mike Shorey and Lil' Mo,1
Un-break My Heart - Toni Braxton,1
Heartbreak Hotel - Whitney Houston ft. Faith Evans and Kelly Price,1
Lady - D'angelo,1
Get It On Tonite - Montell Jordan,1
Ghetto Supastar - Pras Michel ft. Ol' Dirty Bastard and Mýa,1
Bonnie & Clyde - Jay-Z ft. Beyoncé,1
Freak Me - Another Level,1
Every Little Step - Bobby Brown,1
Summertime - DJ Jazzy Jeff and The Fresh Prince,1
