Date,Time,Artist,Title
2025-05-23,00:25,Hot In Here,Nelly
2025-05-23,00:29,Summertime,DJ Jazzy Jeff and The Fresh Prince
2025-05-23,00:32,Miss Independent,Ne-Yo
2025-05-23,00:37,Every Little Step,Bobby Brown
2025-05-23,00:41,"1, 2 Step",Ciara ft. Missy Elliott
2025-05-23,00:46,Freak Me,Another Level
2025-05-23,00:49,Bonnie & Clyde,Jay-Z ft. Beyoncé
2025-05-23,00:54,Ghetto Supastar,Pras Michel ft. Ol' Dirty Bastard and Mýa
2025-05-23,00:58,Another Day In Paradise,Brandy and Ray J
2025-05-23,01:03,Get It On Tonite,Montell Jordan
2025-05-23,01:07,Hey Ma,Cam'ron
2025-05-23,01:11,Lady,D'angelo
2025-05-23,01:15,My Boo,Usher ft. Alicia Keys
2025-05-23,01:19,Heartbreak Hotel,Whitney Houston ft. Faith Evans and Kelly Price
2025-05-23,01:23,Un-break My Heart,Toni Braxton
2025-05-23,01:27,Can't Let You Go,Fabolous ft. Mike Shorey and Lil' Mo
2025-05-23,01:31,One Sweet Day,Mariah Carey and Boyz ll Men
2025-05-23,01:35,Glamorous,Fergie ft. Ludacris
2025-05-23,01:39,No Diggity,Blackstreet ft. Dr. Dre and Queen
2025-05-23,01:48,Be Without You,Mary J. Blige
2025-05-23,01:52,Back & Forth,Aaliyah
2025-05-23,01:56,Senorita,Justin Timberlake
2025-05-23,01:59,Phenomenon,LL Cool J
2025-05-23,02:03,With You,Chris Brown
2025-05-23,02:07,Baby Boy,Beyoncé ft. Sean Paul
2025-05-23,02:10,Return Of The Mack,Mark Morrison
2025-05-23,02:13,No Letting Go,Wayne Wonder
2025-05-23,02:21,The First Night,Monica
2025-05-23,02:24,Sittin' Up In My Room,Brandy
2025-05-23,02:25,Trick Me,Kelis
2025-05-23,02:30,Doo Wop,Lauryn Hill
2025-05-23,02:35,AM To PM,Christina Milian
2025-05-23,02:38,Doesn't Really Matter,Janet Jackson
2025-05-23,02:42,Girl,Destiny's Child
2025-05-23,02:46,Honey,Mariah Carey
2025-05-23,02:50,Ice Box,Omarion
2025-05-23,02:54,All My Life,K-Ci and Jojo
2025-05-23,02:58,What's Luv?,Fat Joe ft. Ashanti
2025-05-23,03:01,You're Makin' Me High,Toni Braxton
2025-05-23,03:05,Let Me Blow Ya Mind,Eve ft. Gwen Stefani
2025-05-23,03:08,Freak Like Me,Adina Howard
2025-05-23,03:12,More Than A Woman,Aaliyah
2025-05-23,03:17,Shackles,Mary Mary
2025-05-23,03:21,Casanova,Ultimate Kaos
2025-05-23,03:25,Full Moon,Brandy
2025-05-23,03:29,Too Close,Next
2025-05-23,03:33,One Wish,Ray J
2025-05-23,03:38,I Wanna Know,Joe
2025-05-23,03:42,If I Ain't Got You,Alicia Keys
2025-05-23,03:46,Nobody Knows,The Toni Project
2025-05-23,03:50,Hate That I Love You,Rihanna and Ne-yo
2025-05-23,03:53,Right Here/human Nature,Swv
2025-05-23,03:57,Cater 2 U,Destiny's Child
2025-05-23,04:02,You Make Me Wanna,Usher
2025-05-23,04:07,Oops,Tweet ft. Missy Elliott
2025-05-23,04:10,It's Not Right But It's Okay,Whitney Houston
2025-05-23,04:14,Georgy Porgy,Eric Benét ft. Faith Evans
2025-05-23,04:18,Scandalous,Mis-Teeq
2025-05-23,04:21,Thong Song,Sisqo
2025-05-23,04:24,Breathe,Blu Cantrell ft. Sean Paul
2025-05-23,04:28,On & On,Erykah Badu
2025-05-23,04:31,I Love Your Smile,Shanice
2025-05-23,04:36,Move Ya Body,Nina Sky ft. Jabba
2025-05-23,04:40,Irreplaceable,Beyoncé
2025-05-23,04:45,I Wanna Be Down,Brandy
2025-05-23,04:48,Signs,Snoop Dogg ft. Justin Timberlake & Charlie Wilson
2025-05-23,04:52,If You Were Here Tonight,Alexander O'Neal
2025-05-23,04:55,Foolish,Ashanti
2025-05-23,05:01,Ascension,Maxwell
2025-05-23,05:05,U Know What's Up,Donell Jones
2025-05-23,05:08,Family Affair,Mary J. Blige
2025-05-23,05:12,Where The Party At,Jagged Edge ft. Nelly
2025-05-23,05:17,U Remind Me,Usher
2025-05-23,05:20,Feel So Good,Mase
2025-05-23,05:23,Run It!,Chris Brown ft. Juelz Santana
2025-05-23,05:27,I Wanna Be The Only One,Eternal ft. BeBe Winans
2025-05-23,05:30,Low,Flo Rida ft. T-Pain
2025-05-23,05:34,"No, No, No",Destiny's Child ft. Wyclef Jean
2025-05-23,05:38,Let Me Love You,Mario
2025-05-23,05:42,How Deep Is Your Love,Dru Hill
2025-05-23,05:44,Peaches & Cream,112
2025-05-23,05:48,Got 'Til It's Gone,Janet Jackson ft. Q-Tip and Joni Mitchell
2025-05-23,05:52,Rock The Boat,Aaliyah
2025-05-23,05:57,I'll Be There,Mariah Carey ft. Trey Lorenz
2025-05-23,06:01,Crazy In Love,Beyoncé ft. Jay-Z
2025-05-23,06:04,Tell Me,Groove Theory
2025-05-23,06:08,Ms. Jackson,Outkast
2025-05-23,06:12,I'm So Into You,Swv
2025-05-23,06:16,Dip It Low,Christina Milian
2025-05-23,06:21,Everything Is Everything,Lauryn Hill
2025-05-23,06:24,1 Thing,Amerie
2025-05-23,06:29,Red Light Special,TLC
2025-05-23,06:32,Rock Wit U,Ashanti
2025-05-23,06:37,I'm Your Baby Tonight,Whitney Houston
