Track,Repeats
Du Ligner Din Mor - Benjamin Hav ft. Lukas Graham,2
Mine øjne de skal se - Lis Sørensen,1
Stjernerne - Lord Siva,1
Sømand Af Verden - Dodo and The Dodos,1
Dig & Mig - Dieters Lieder,1
Down Under - Men At Work,1
Mandags-Stævnemøde - Ray Dee Ohh,1
"All For Love - Bryan Adams, Rod Stewart and Stin",1
Gå Med Dig - Nephew ft. Marie Key,1
Hvorlænge Vil Du Ydmyge Dig - Danser med drenge,1
You're Not Alone - Mads Langer,1
Er Det Mig Du Elsker? - Malte Ebert,1
Vi To - Medina,1
Giv Mig Hvad Du Har - Dodo and The Dodos,1
Midt i en drøm - One Two,1
Stor Mand - Tobias Rahim ft. Andreas Odbjerg,1
