Track,Repeats
Birds Of A Feather - Billie Eilish,2
End Of The World - Miley Cyrus,2
Austin - Dasha,2
Ordinary - Alex Warren,2
Nice To Meet You - Myles Smith,2
I Don't Want To Miss A Thing - Aerosmith,1
Azizam - Ed Sheeran,1
Love The Way You Lie - Eminem and Rihanna,1
They Don't Care About Us - Michael Jackson,1
You're Not There - Lukas Graham,1
If I Could Turn Back Time - Cher,1
Caught In The Middle - A1,1
How You Remind Me - Nickelback,1
Drive By - Train,1
Locked Out Of Heaven - Bruno Mars,1
Where Are You Now - Lost Frequencies ft. Calum Scott,1
Died In Your Arms - Cutting Crew,1
There's Nothing Holdin' Me Back - Shawn Mendes,1
Lose Control - Teddy Swims,1
Novembervej - Nik and Jay,1
Life Is A Highway - Tom Cochrane,1
Can't Fight The Moonlight - LeAnn Rimes,1
If I Let You Go - Westlife,1
Run To You - Bryan Adams,1
From Paris To Berlin - Infernal,1
Sweet But Psycho - Ava Max,1
So What - P!nk,1
Carry You Home - Alex Warren ft. Ella Henderson,1
Drop Dead Beautiful - Six Was Nine,1
Fast Car - Luke Combs,1
I'm Like A Bird - Nelly Furtado,1
Lose A You - Christopher,1
The Final Countdown - Europe,1
All Of Me - John Legend,1
Die With A Smile - Lady GaGa and Bruno Mars,1
Save Me From Myself - Carpark North,1
Heaven Is A Place On Earth - Belinda Carlisle,1
When You Say Nothing At All - Ronan Keating,1
You're The Voice - John Farnham,1
Fireflies - Owl City,1
I Had Some Help - Post Malone ft. Morgan Wallen,1
Livin' On A Prayer - Bon Jovi,1
You're Beautiful - James Blunt,1
Turn Back Time - Aqua,1
Out of It - Fallulah,1
Sweat - Inner Circle,1
Nothing's Gonna Stop Us Now - Starship,1
Man On The Moon - R.E.M,1
Mama Said - Lukas Graham,1
Wherever You Will Go - The Calling,1
How Do I Say Goodbye - Dean Lewis,1
Walking In Memphis - Marc Cohn,1
How Will I Know - Whitney Houston,1
Don't Speak - No Doubt,1
Someone Like You - Adele,1
Sitting Down Here - Lene Marlin,1
Beautiful Things - Benson Boone,1
Just Dance - Lady Gaga ft. Colby O' Donis,1
Flying - Nice Little Penguins,1
Dancing In The Dark - Bruce Springsteen,1
Jonathan - Back to Back,1
Save Tonight - Eagle-Eye Cherry,1
The Way You Make Me Feel - Michael Jackson,1
Can't Tame Her - Zara Larsson,1
Zombie - The Cranberries,1
Perfect - Ed Sheeran,1
Sex On Fire - Kings Of Leon,1
Whatever - Kygo and Ava Max,1
What Is Love - Haddaway,1
The Day After Tomorrow - Saybia,1
All Night Long - Lionel Richie,1
Everybody Hurts - R.E.M,1
Ghost - Christopher,1
The Reason - Hoobastank,1
Moonlight Shadow - Mike Oldfield and Maggie Reilly,1
Weather With You - Crowded House,1
In The Shadows - The Rasmus,1
Love Is All Around - Wet Wet Wet,1
Manic Monday - The Bangles,1
Broken Strings - James Morrison and Nelly Furtado,1
Don't Look Back In Anger - Oasis,1
Hungry Eyes - Eric Carmen,1
As Long As You Love Me - Backstreet Boys,1
I Don't Wanna Wait - David Guetta and OneRepublic,1
The Look - Roxette,1
Over My Shoulder - Mike and the Mechanics,1
Be With You - Enrique Iglesias,1
The Rhythm Of The Night - Corona,1
