Date,Time,Artist,Title
2025-05-23,00:20,Self Control,Laura Branigan
2025-05-23,00:24,The Rhythm Of The Night,Corona
2025-05-23,00:26,A Bar Song,Shaboozey
2025-05-23,00:30,Be With You,Enrique Iglesias
2025-05-23,00:34,Cheap Thrills,Sia ft. Sean Paul
2025-05-23,00:37,Bag duggede ruder,TV-2
2025-05-23,00:40,Over My Shoulder,Mike and the Mechanics
2025-05-23,00:43,The Look,Roxette
2025-05-23,00:47,Elskovspony,Johnny Deluxe
2025-05-23,00:51,I Don't Wanna Wait,David Guetta and OneRepublic
2025-05-23,00:53,As Long As You Love Me,Backstreet Boys
2025-05-23,00:58,Grenade,Bruno Mars
2025-05-23,01:02,Hungry Eyes,Eric Carmen
2025-05-23,01:05,Don't Look Back In Anger,Oasis
2025-05-23,01:09,Broken Strings,James Morrison and Nelly Furtado
2025-05-23,01:12,Manic Monday,The Bangles
2025-05-23,01:16,Love Is All Around,Wet Wet Wet
2025-05-23,01:20,Stor Mand,Tobias Rahim ft. Andreas Odbjerg
2025-05-23,01:24,In The Shadows,The Rasmus
2025-05-23,01:27,Hey Brother,Avicii
2025-05-23,01:30,I'm So Excited,Pointer Sisters
2025-05-23,01:33,Austin,Dasha
2025-05-23,01:37,Weather With You,Crowded House
2025-05-23,01:40,Moonlight Shadow,Mike Oldfield and Maggie Reilly
2025-05-23,01:44,The Reason,Hoobastank
2025-05-23,01:48,Ghost,Christopher
2025-05-23,01:52,Everybody Hurts,R.E.M
2025-05-23,01:56,Budapest,George Ezra
2025-05-23,02:00,All Night Long,Lionel Richie
2025-05-23,02:04,End Of The World,Miley Cyrus
2025-05-23,02:06,Something Happend On The Way To Heaven,Phil Collins
2025-05-23,02:11,The Day After Tomorrow,Saybia
2025-05-23,02:14,Tainted Love,Soft Cell
2025-05-23,02:21,What Is Love,Haddaway
2025-05-23,02:24,Whatever,Kygo and Ava Max
2025-05-23,02:26,Sex On Fire,Kings Of Leon
2025-05-23,02:29,Perfect,Ed Sheeran
2025-05-23,02:32,Midt i en drøm,One Two
2025-05-23,02:36,Du Ligner Din Mor,Benjamin Hav ft. Lukas Graham
2025-05-23,02:40,Zombie,The Cranberries
2025-05-23,02:43,Giv Mig Hvad Du Har,Dodo and The Dodos
2025-05-23,02:46,A Thousand Miles,Vanessa Carlton
2025-05-23,02:50,Can't Tame Her,Zara Larsson
2025-05-23,02:54,Gangsta's Paradise,Coolio ft. L.v.
2025-05-23,02:57,Vi To,Medina
2025-05-23,03:01,The Way You Make Me Feel,Michael Jackson
2025-05-23,03:05,Ordinary,Alex Warren
2025-05-23,03:08,Save Tonight,Eagle-Eye Cherry
2025-05-23,03:11,Jonathan,Back to Back
2025-05-23,03:16,Lemon Tree,Fool's Garden
2025-05-23,03:19,Flyvende Faduma,Tobias Rahim
2025-05-23,03:22,Photograph,Nickelback
2025-05-23,03:25,Euphoria,Loreen
2025-05-23,03:28,Dancing In The Dark,Bruce Springsteen
2025-05-23,03:31,Nice To Meet You,Myles Smith
2025-05-23,03:35,Flying,Nice Little Penguins
2025-05-23,03:39,Heaven,Bryan Adams
2025-05-23,03:42,Just Dance,Lady Gaga ft. Colby O' Donis
2025-05-23,03:47,Beautiful Things,Benson Boone
2025-05-23,03:51,Sitting Down Here,Lene Marlin
2025-05-23,03:54,Someone Like You,Adele
2025-05-23,03:58,Lanternen,TV-2
2025-05-23,04:01,Er Det Mig Du Elsker?,Malte Ebert
2025-05-23,04:06,Don't Speak,No Doubt
2025-05-23,04:10,You're Not Alone,Mads Langer
2025-05-23,04:13,How Will I Know,Whitney Houston
2025-05-23,04:16,Walking In Memphis,Marc Cohn
2025-05-23,04:19,How Do I Say Goodbye,Dean Lewis
2025-05-23,04:23,Wherever You Will Go,The Calling
2025-05-23,04:26,Mama Said,Lukas Graham
2025-05-23,04:30,Man On The Moon,R.E.M
2025-05-23,04:35,Nothing's Gonna Stop Us Now,Starship
2025-05-23,04:38,White Flag,Dido
2025-05-23,04:42,Too Sweet,Hozier
2025-05-23,04:45,Sweat,Inner Circle
2025-05-23,04:49,Out of It,Fallulah
2025-05-23,04:52,Invisible Touch,Genesis
2025-05-23,04:56,We Pray,"Coldplay, Little Simz, Burna Boy, Elyanna, Tini"
