Track,Repeats
KYGO / KYLA LA GRANGE - Cut your teeth (Kygo remix),1
DERMOT KENNEDY - Kiss me,1
LISA / DOJA CAT / RAYE - Born again (Purple Disco Machine remix),1
MILEY CYRUS - End of the world,1
DAVID GUETTA / SHOWTEK / VASSY - Bad,1
ROBIN SCHULZ / NERVO / KOPPY - Freaking you out,1
VELLA - All my love,1
TOPIC / ROBIN SCHULZ / NICO SANTOS / PAUL VAN DYK - In your arms (for an angel),1
DJS FROM MARS - Avicii Tribute (MashUp Mix),1
"SABRINA CARPENTER - Please, please, please",1
SWEDISH HOUSE MAFIA - Lioness (Argy remix),1
FELIX JAEHN / WHITNEY HOUSTON - It's not right but it's okay,1
NICKY ROMERO & DAVID GUETTA - Shout,1
DAVID GUETTA / SIA - Beautiful people,1
RUDIMENTAL - These days,1
ROSÉ / BRUNO MARS - Apt.,1
ED SHEERAN / LIL BABY - 2step,1
ALEX WARREN - Carry you home,1
CLEAN BANDIT / TIËSTO / LEONY - Tell me where u go,1
DREW SYCAMORE - Another lovesong,1
MARTIN GARRIX / LLOYISO - Real love,1
USHER - Caught up,1
MIMI WEBB - Ghost of you,1
RED HOT CHILI PEPPERS - Snow ((Hey oh)),1
LEWIS CAPALDI - Before you go,1
KID ROCK - All summer long,1
ALAN WALKER / BENJAMIN INGROSSO - Man on the moon,1
OLLY MURS - Kiss me,1
JULIE - Completely fallen,1
COLDPLAY - We pray,1
GEORGE EZRA - Hold my girl,1
MATTAFIX - Big city life,1
JAMES BLUNT - I'll be your man,1
TOM GRENNAN - Remind me,1
P!NK / WILLOW SAGE HART - Cover me in sunshine,1
MATOMA / THE NOTORIOUS B.I.G. / JA RULE / RALPH TREVANT - Old thing back,1
MAROON 5 - Maps,1
MICHAEL BUBLÉ - It's a beautiful day,1
CRAIG DAVID - Don't love you no more,1
DUA LIPA - Houdini,1
KELLY CLARKSON - Heartbeat song,1
DANIEL BEDINGFIELD - Wrap my words around you,1
BASTILLE - Of the night,1
BRIAN MCFADDEN / DELTA GOODREM - Almost here,1
TAYLOR SWIFT - Wildest dreams,1
DIDO - Thank you,1
THE SCRIPT - No good in goodbye,1
EMINEM - When i'm gone,1
ROBBIE WILLIAMS - Let me entertain you,1
THE WANTED - Glad you came,1
THE CALLING - Wherever you will go,1
GWEN STEFANI / EVE - Rich girl,1
"FLO RIDA / ROBIN THICKE / VERDINE WHITE - I don't like it, i love it",1
LOST FREQUENCIES - Are you with me,1
SHAKIRA - Whenever wherever,1
AVA MAX - Weapons,1
THE BLACK EYED PEAS - My humps,1
DAVID GUETTA / ONE REPUBLIC - I don't wanna wait,1
MILEY CYRUS - Malibu,1
PURPLE DISCO MACHINE / SOPHIE AND THE GIANTS - In the dark,1
AKON - Lonely,1
DISCIPLES - I got you,1
CAMILA CABELLO - Liar,1
BLUE - One love,1
KATY PERRY - Birthday,1
VANESSA CARLTON - A thousand miles,1
MARK AMBOR - Belong together,1
SHAWN MENDES - There's nothing holdin' me back,1
BRUNO MARS - Grenade,1
KASHMIR - Rocket brothers,1
SCISSOR SISTERS - I don't feel like dancing,1
LADY GAGA - Hold my hand,1
P!NK - Beautiful trauma,1
