Date,Time,Artist,Title
2025-05-23,02:29,NATASJA,Op med ho'det
2025-05-23,02:32,P!NK,Beautiful trauma
2025-05-23,02:36,LADY GAGA,Hold my hand
2025-05-23,02:40,SCISSOR SISTERS,I don't feel like dancing
2025-05-23,02:44,JONAH BLACKSMITH,House on fire
2025-05-23,02:44,HJALMER,Samme fejl
2025-05-23,02:47,KASHMIR,Rocket brothers
2025-05-23,02:51,BRUNO MARS,Grenade
2025-05-23,02:54,CHRISTOPHER,Ghost
2025-05-23,02:58,BRITNEY SPEARS,Everytime
2025-05-23,03:02,SHAWN MENDES,There's nothing holdin' me back
2025-05-23,03:05,MARK AMBOR,Belong together
2025-05-23,03:08,VANESSA CARLTON,A thousand miles
2025-05-23,03:09,KATY PERRY,Birthday
2025-05-23,03:12,DOMINIC FIKE,Mona Lisa
2025-05-23,03:15,CAMILA CABELLO,Liar
2025-05-23,03:15,BLUE,One love
2025-05-23,03:18,DISCIPLES,I got you
2025-05-23,03:21,LUKAS GRAHAM,Lie
2025-05-23,03:21,AKON,Lonely
2025-05-23,03:25,PURPLE DISCO MACHINE / SOPHIE AND THE GIANTS,In the dark
2025-05-23,03:28,MGMT,Kids
2025-05-23,03:31,MILEY CYRUS,Malibu
2025-05-23,03:35,ALPHABEAT,Fascination
2025-05-23,03:35,MADS LANGER,Hanging with you
2025-05-23,03:38,PAGE FOUR,Fucking smuk
2025-05-23,03:41,THE BLACK EYED PEAS,My humps
2025-05-23,03:41,DAVID GUETTA / ONE REPUBLIC,I don't wanna wait
2025-05-23,03:44,SCARLET PLEASURE,Heat
2025-05-23,03:48,SHAKIRA,Whenever wherever
2025-05-23,03:48,AVA MAX,Weapons
2025-05-23,03:51,LOST FREQUENCIES,Are you with me
2025-05-23,03:55,INFERNAL,Ten miles
2025-05-23,03:55,CLARA,Energies don't lie
2025-05-23,03:58,FLO RIDA / ROBIN THICKE / VERDINE WHITE,"I don't like it, i love it"
2025-05-23,04:02,KAMRAD,I believe
2025-05-23,04:05,GWEN STEFANI / EVE,Rich girl
2025-05-23,04:09,THE CALLING,Wherever you will go
2025-05-23,04:12,THE WANTED,Glad you came
2025-05-23,04:16,ROBBIE WILLIAMS,Let me entertain you
2025-05-23,04:16,IDA LAURBERG / ANDREAS ODBJERG,Jeg ka' rigtig godt li' dig
2025-05-23,04:19,KYGO / WHITNEY HOUSTON,Higher love
2025-05-23,04:22,MARIE KEY,Uden forsvar
2025-05-23,04:22,EMINEM,When i'm gone
2025-05-23,04:26,BLÆST,Elsker dig så meget
