Track,Repeats
Blæst - Vi Ku' Gå Hele Vejen,2
Malte Ebert - Er det mig du elsker?,2
Tobias Rahim/Kabusa Oriental Choir - Regntid,2
Aphaca - Smelter Under Månen,1
Dos Santos - Folder Mine Hænder,1
Infernal - From Paris to Berlin,1
Dos Santos - Falder I,1
Medina - Jalousi,1
Berg - Koldblodet Killer,1
Rasmus Seebach - Olivia,1
MØ - Final Song,1
Danser Med Piger - Danser Med Piger,1
Jada - Nudes,1
Blæst - Elsker Dig Så Meget,1
DJ Spiller/Sophie Ellis-Bextor/Spiller - Groovejet (If This Ain't Love),1
Svea S & Burhan G - Det Ønsker Jeg For Dig,1
Mumle - Det Modsatte,1
Pil/Public Image Ltd. - Dronning Af Månen,1
Christopher - Lose A You,1
Medina - Vi To,1
Annika - Luk Mig Ind,1
Malte Ebert - Fortæl Mig Hvis Du Vil Noget Andet,1
Jonah Blacksmith - House On Fire,1
Clara Sofie/Rune RK - Når Tiden Går Baglæns,1
Medina - Kun For Mig,1
Jonah Blacksmith - Up,1
URO - Godthåbsvej,1
Tobias Rahim - STOR MAND,1
Malte Ebert - Mindst Ondt,1
Mille - Drikker med mig selv,1
Scarlet Pleasure/Suzane - What a Life,1
