Track,Repeats
Billie Eilish - BIRDS OF A FEATHER,3
Bruno Mars/Lady Gaga - Die With a Smile,3
Myles Smith - Nice to Meet You,3
Dasha - Austin,3
Sabrina Carpenter - Taste,3
Mark Ambor - Belong Together,3
Ed Sheeran - Azizam,3
Miley Cyrus - End of the World,2
Lady Gaga - Abracadabra,2
Miley Cyrus - Flowers,2
Tiësto/Teddy Swims - Lose Control,2
Ava Max/Kygo - Whatever,2
Myles Smith - Stargazing,2
Justin Timberlake - Mirrors,1
Ed Sheeran - Shape of You,1
Maroon 5 - Payphone,1
Beyoncé - Crazy in Love,1
Bruno Mars - Just the Way You Are,1
Backstreet Boys - Quit Playing Games (With My Heart),1
OneRepublic - Apologize,1
Charlie Puth - We Don't Talk Anymore,1
The Weeknd - Dancing in the Flames,1
Taylor Swift - I Knew You Were Trouble,1
Camila Cabello/Shawn Mendes - Señorita,1
Rihanna - Only Girl (In the World),1
Jason Derulo - Want to Want Me,1
Bathsheba - Something About Her,1
N'Sync - It's Gonna Be Me,1
Maroon 5 - This Love,1
DJ Snake/Justin Bieber - Let Me Love You,1
Dua Lipa - Dance the Night,1
Coldplay/BTS - My Universe,1
Mario - Let Me Love You,1
Avicii - Wake Me Up,1
Justin Timberlake - What Goes Around... Comes Around,1
Zara Larsson - Lush Life,1
Katy Perry - Roar,1
Sam Smith/Normani - Dancing With a Stranger,1
Cut 'n' Move - Give It Up,1
Hozier - Too Sweet,1
Harry Styles - As It Was,1
Gwen Stefani - The Sweet Escape,1
Justin Bieber - Sorry,1
"David Guetta, Alphaville & Ava Max - Forever Young",1
P!nk - Never Gonna Not Dance Again,1
Rihanna & Jay-Z - Umbrella,1
Maroon 5 - Girls Like You,1
Dua Lipa - Houdini,1
Robbie Williams - Feel,1
Kings of Leon - Sex on Fire,1
TLC - No Scrubs,1
Lola Young - Messy,1
The Kid LAROI - WITHOUT YOU,1
Mark Ronson - Uptown Funk,1
Beyoncé - TEXAS HOLD 'EM,1
Taylor Swift - Anti-Hero,1
Mark Morrison - Return of the Mack,1
Justin Timberlake - Can't Stop the Feeling!,1
Lady Gaga - Poker Face,1
Noah Kahan - Stick Season,1
The Weeknd - In Your Eyes,1
Justin Bieber - What Do You Mean?,1
Nelly Furtado - Say It Right,1
Rihanna - Don't Stop the Music,1
Tones and I - Dance Monkey,1
Alex Warren - Carry You Home,1
Lewis Capaldi - Someone You Loved,1
David Guetta - Without You,1
Harry Styles - Adore You,1
Post Malone - Circles,1
Stardust - Music Sounds Better With You,1
Robyn - Dancing on My Own,1
Shawn Mendes - Treat You Better,1
Adele - Rolling in the Deep,1
