Date,Time,Artist,Title
2025-05-23,00:41,Ed Sheeran,Azizam
2025-05-23,00:45,Scarlet Pleasure/Suzane,What a Life
2025-05-23,00:48,P!nk,TRUSTFALL
2025-05-23,00:51,Adele,Rolling in the Deep
2025-05-23,00:54,Dasha,Austin
2025-05-23,00:57,Shawn Mendes,Treat You Better
2025-05-23,01:00,Robyn,Dancing on My Own
2025-05-23,01:03,Mille,Drikker med mig selv
2025-05-23,01:06,Tiësto/Teddy Swims,Lose Control
2025-05-23,01:10,Stardust,Music Sounds Better With You
2025-05-23,01:15,Bruno Mars/Lady Gaga,Die With a Smile
2025-05-23,01:18,Post Malone,Circles
2025-05-23,01:21,Malte Ebert,Mindst Ondt
2025-05-23,01:24,Harry Styles,Adore You
2025-05-23,01:26,David Guetta,Without You
2025-05-23,01:31,Shaboozey,A Bar Song (Tipsy)
2025-05-23,01:34,Tobias Rahim,STOR MAND
2025-05-23,01:38,Lewis Capaldi,Someone You Loved
2025-05-23,01:41,Christina Aguilera,Genie in a Bottle
2025-05-23,01:45,Alex Warren,Carry You Home
2025-05-23,01:48,Ava Max/Kygo,Whatever
2025-05-23,01:52,Tones and I,Dance Monkey
2025-05-23,01:56,Mark Ambor,Belong Together
2025-05-23,02:00,Rihanna,Don't Stop the Music
2025-05-23,02:03,URO,Godthåbsvej
2025-05-23,02:07,Myles Smith,Nice to Meet You
2025-05-23,02:10,Nelly Furtado,Say It Right
2025-05-23,02:14,Jonah Blacksmith,Up
2025-05-23,02:21,Pharell Williams,Happy
2025-05-23,02:23,Miley Cyrus,End of the World
2025-05-23,02:25,Justin Bieber,What Do You Mean?
2025-05-23,02:28,The Weeknd,In Your Eyes
2025-05-23,02:32,Noah Kahan,Stick Season
2025-05-23,02:35,Lady Gaga,Poker Face
2025-05-23,02:38,Malte Ebert,Er det mig du elsker?
2025-05-23,02:42,Justin Timberlake,Can't Stop the Feeling!
2025-05-23,02:45,Medina,Kun For Mig
2025-05-23,02:49,Billie Eilish,BIRDS OF A FEATHER
2025-05-23,02:52,Mark Morrison,Return of the Mack
2025-05-23,02:55,Tobias Rahim/Kabusa Oriental Choir,Regntid
2025-05-23,02:58,Taylor Swift,Anti-Hero
2025-05-23,03:02,Beyoncé,TEXAS HOLD 'EM
2025-05-23,03:05,Phlake,Pregnant
2025-05-23,03:08,Sabrina Carpenter,Taste
2025-05-23,03:11,Clara Sofie/Rune RK,Når Tiden Går Baglæns
2025-05-23,03:15,Myles Smith,Stargazing
2025-05-23,03:18,Mark Ronson,Uptown Funk
2025-05-23,03:22,The Kid LAROI,WITHOUT YOU
2025-05-23,03:25,Lola Young,Messy
2025-05-23,03:29,TLC,No Scrubs
2025-05-23,03:32,Kings of Leon,Sex on Fire
2025-05-23,03:35,Blæst,Vi Ku' Gå Hele Vejen
2025-05-23,03:40,Miley Cyrus,Flowers
2025-05-23,03:42,Jonah Blacksmith,House On Fire
2025-05-23,03:47,Lady Gaga,Abracadabra
2025-05-23,03:50,Robbie Williams,Feel
2025-05-23,03:53,Dua Lipa,Houdini
2025-05-23,03:56,Maroon 5,Girls Like You
2025-05-23,04:00,Ed Sheeran,Azizam
2025-05-23,04:03,Rihanna & Jay-Z,Umbrella
2025-05-23,04:06,Malte Ebert,Fortæl Mig Hvis Du Vil Noget Andet
2025-05-23,04:09,P!nk,Never Gonna Not Dance Again
2025-05-23,04:13,"David Guetta, Alphaville & Ava Max",Forever Young
2025-05-23,04:16,Sia,Chandelier
2025-05-23,04:19,Justin Bieber,Sorry
2025-05-23,04:23,Taylor Swift,Cruel Summer
2025-05-23,04:26,Gwen Stefani,The Sweet Escape
2025-05-23,04:30,Annika,Luk Mig Ind
2025-05-23,04:34,Harry Styles,As It Was
2025-05-23,04:36,Medina,Vi To
2025-05-23,04:39,Christopher,Lose A You
2025-05-23,04:43,Hozier,Too Sweet
2025-05-23,04:46,Cut 'n' Move,Give It Up
2025-05-23,04:49,Dasha,Austin
2025-05-23,04:53,Sam Smith/Normani,Dancing With a Stranger
2025-05-23,04:56,Pil/Public Image Ltd.,Dronning Af Månen
2025-05-23,05:00,Katy Perry,Roar
2025-05-23,05:02,Mark Ambor,Belong Together
2025-05-23,05:06,Nelly/Kelly Rowland,Dilemma
2025-05-23,05:10,Mumle,Det Modsatte
2025-05-23,05:14,Zara Larsson,Lush Life
2025-05-23,05:17,Justin Timberlake,What Goes Around... Comes Around
2025-05-23,05:28,Myles Smith,Nice to Meet You
2025-05-23,05:32,Avicii,Wake Me Up
