Track,Repeats
Beautiful People - David Guetta and Sia,6
Ordinary - Alex Warren,4
Azizam - Ed Sheeran,4
Anxiety - Doechii,4
Nice To Meet You - Myles Smith,3
"Blessings - Calvin Harris, Clementine Douglas",3
Revolving Door - Tate McRae,3
Birds Of A Feather - Billie Eilish,3
Tell Me - Sonny Fodera and Clementine Douglas,3
Sports Car - Tate McRae,2
Stumblin' In - CYRIL,2
"Think Of Me - HUGEL, David Guetta, Kehlani, Daecolm",2
Austin - Dasha,2
The Next Episode - Dr. Dre ft. Snoop Dogg,1
Yeah! - Usher ft. Lil Jon and Ludacris,1
Promiscuous - Nelly Furtado ft. Timbaland,1
The Magic Key - One-T,1
I Like The Way You Kiss Me - Artemas,1
Don't Call Me Up - Mabel,1
Taste - Sabrina Carpenter,1
Company - Thor Farlov,1
Whatever - Kygo and Ava Max,1
Greedy - Tate McRae,1
"Show Me Love - WizTheMc, Tyla, bees and honey",1
Down - Jay Sean,1
Can't Feel My Face - The Weeknd,1
Tell Me Where U Go - Clean Bandit ft. Tiesto ft. Leony,1
What's Luv? - Fat Joe ft. Ashanti,1
"We Pray - Coldplay, Little Simz, Burna Boy, Elyanna, Tini",1
End Of The World - Miley Cyrus,1
Club Can't Handle Me - Flo Rida and David Guetta,1
Beautiful Things - Benson Boone,1
I Had Some Help - Post Malone ft. Morgan Wallen,1
Hollaback Girl - Gwen Stefani,1
The Weekend - Chriz ft. Nadia Gattas,1
Hold On - Justin Bieber,1
Apt. - Rose and Bruno Mars,1
Million Dollar Baby - Tommy Richman,1
Closer - Ne-Yo,1
"Say My Name - Morgan Seatree, Florence The Machine",1
Run It! - Chris Brown ft. Juelz Santana,1
Cruel Summer - Taylor Swift,1
Love Isn't Easy - Kind mod Kind ft. Medina,1
Shape Of You - Ed Sheeran ft. Stormzy,1
What Was That - Lorde,1
Don't Wake Me Up - James Hype,1
I Love It - Icona Pop,1
Stargazing - Myles Smith,1
I Adore You - Hugel ft. Topic ft. Arash ft. Daecolm,1
Dancing In The Flames - The Weeknd,1
One Kiss - Calvin Harris ft. Dua Lipa,1
Who's That Girl - Eve,1
Samma Gamla Vanliga - A36 ft. Branco and Kamelen,1
Escapism - RAYE ft. 070 Shake,1
Instruction - Jax Jones ft. Demi Lovato and S,1
"Shake It To The Max - MOLIY, Silent Addy, Skillibeng, Shenseea",1
After Hours - Kehlani,1
One More Time - Daft Punk,1
