Date,Time,Artist,Title
2025-05-23,00:57,Birds Of A Feather,Billie Eilish
2025-05-23,01:00,One More Time,Daft Punk
2025-05-23,01:02,Beautiful People,David Guetta and Sia
2025-05-23,01:06,After Hours,Kehlani
2025-05-23,01:09,Shake It To The Max,"MOLIY, Silent Addy, Skillibeng, Shenseea"
2025-05-23,01:12,Instruction,Jax Jones ft. Demi Lovato and S
2025-05-23,01:14,Escapism,RAYE ft. 070 Shake
2025-05-23,01:18,Samma Gamla Vanliga,A36 ft. Branco and Kamelen
2025-05-23,01:21,One Thing,Lola Young
2025-05-23,01:24,Who's That Girl,Eve
2025-05-23,01:27,Anxiety,Doechii
2025-05-23,01:30,I Know,D1ma
2025-05-23,01:33,good 4 u,Olivia Rodrigo
2025-05-23,01:36,Sugar,Robin Schulz ft. Francesco Yate
2025-05-23,01:40,Revolving Door,Tate McRae
2025-05-23,01:43,Tell Me,Sonny Fodera and Clementine Douglas
2025-05-23,01:46,One Kiss,Calvin Harris ft. Dua Lipa
2025-05-23,01:50,Azizam,Ed Sheeran
2025-05-23,01:53,Alt Det,Thor Farlov ft. Noah Carter
2025-05-23,01:56,Sorry,Justin Bieber
2025-05-23,01:58,Apple,Charli Xcx
2025-05-23,02:01,Ordinary,Alex Warren
2025-05-23,02:04,Austin,Dasha
2025-05-23,02:07,Dancing In The Flames,The Weeknd
2025-05-23,02:10,Seaside,Artigeardit
2025-05-23,02:12,Lady,Modjo
2025-05-23,02:15,Stolt,Annika ft. Lamin
2025-05-23,02:18,I Adore You,Hugel ft. Topic ft. Arash ft. Daecolm
2025-05-23,02:22,Stumblin' In,CYRIL
2025-05-23,02:25,Whatcha Say,Jason Derulo
2025-05-23,02:29,Lose Yourself,Mø
2025-05-23,02:31,Tell Ur Girlfriend,Lay Bankz
2025-05-23,02:35,Messy,Lola Young
2025-05-23,02:38,Bmf,Sza
2025-05-23,02:41,Stargazing,Myles Smith
2025-05-23,02:45,Hele Vejen,Omar ft. Mumle
2025-05-23,02:49,I Love It,Icona Pop
2025-05-23,02:51,Don't Wake Me Up,James Hype
2025-05-23,02:54,Too Sweet,Hozier
2025-05-23,02:57,De Her Timer,Lamin
2025-05-23,03:00,Blessings,"Calvin Harris, Clementine Douglas"
2025-05-23,03:03,In Da Club,50 Cent
2025-05-23,03:07,Blodigt,"Anton Westerlin, Annika"
2025-05-23,03:09,What Was That,Lorde
2025-05-23,03:12,Lonely,JOSVA ft. Artigeardit
2025-05-23,03:15,Beautiful People,David Guetta and Sia
2025-05-23,03:18,Shape Of You,Ed Sheeran ft. Stormzy
2025-05-23,03:22,Love Isn't Easy,Kind mod Kind ft. Medina
2025-05-23,03:25,Nice To Meet You,Myles Smith
2025-05-23,03:28,Cruel Summer,Taylor Swift
2025-05-23,03:32,No Bad Vibes,Jazzy ft. Kilimanjaro
2025-05-23,03:35,Run It!,Chris Brown ft. Juelz Santana
2025-05-23,03:38,Entré,Anton Westerlin ft. Lamin and ozzy
2025-05-23,03:40,Birds Of A Feather,Billie Eilish
2025-05-23,03:43,Bed Chem,Sabrina Carpenter
2025-05-23,03:47,Beautiful People,David Guetta and Sia
2025-05-23,03:49,Dumme Penge,Kesi
2025-05-23,03:52,Say My Name,"Morgan Seatree, Florence The Machine"
2025-05-23,03:55,"Good Luck, Babe!",Chappell Roan
2025-05-23,03:57,Abracadabra,Lady GaGa
2025-05-23,04:00,Closer,Ne-Yo
2025-05-23,04:03,Sports Car,Tate McRae
2025-05-23,04:06,Karavane,Tobias Rahim ft. Marwan
2025-05-23,04:08,Million Dollar Baby,Tommy Richman
2025-05-23,04:11,Anxiety,Doechii
2025-05-23,04:15,This Is What You Came For,Calvin Harris ft. Rihanna
2025-05-23,04:17,Apt.,Rose and Bruno Mars
2025-05-23,04:21,Kun Os,Lamin
2025-05-23,04:23,Hold On,Justin Bieber
2025-05-23,04:26,The Weekend,Chriz ft. Nadia Gattas
2025-05-23,04:30,Hollaback Girl,Gwen Stefani
2025-05-23,04:33,Think Of Me,"HUGEL, David Guetta, Kehlani, Daecolm"
2025-05-23,04:37,Push 2 Start,Tyla
2025-05-23,04:39,I Had Some Help,Post Malone ft. Morgan Wallen
2025-05-23,04:43,Azizam,Ed Sheeran
2025-05-23,04:46,No Lie,Sean Paul ft. Dua Lipa
2025-05-23,04:48,Beautiful Things,Benson Boone
2025-05-23,04:51,Big Energy,Latto
2025-05-23,04:54,Club Can't Handle Me,Flo Rida and David Guetta
2025-05-23,04:58,End Of The World,Miley Cyrus
2025-05-23,05:01,Ride It,Regard
2025-05-23,05:04,Stolt,Annika ft. Lamin
2025-05-23,05:07,Move,"Adam Port, Stryv, Keinemusik ft. Orso, Malachiii"
2025-05-23,05:10,Koldblodet Killer,Berg
2025-05-23,05:13,Revolving Door,Tate McRae
2025-05-23,05:17,Signs,Snoop Dogg ft. Justin Timberlake & Charlie Wilson
2025-05-23,05:20,Lonely Heat,Drew Sycamore
2025-05-23,05:23,Ferrari,James Hype ft. Miggy Dela Rosa
2025-05-23,05:27,Ordinary,Alex Warren
2025-05-23,05:30,Tell Me,Sonny Fodera and Clementine Douglas
2025-05-23,05:33,Super Bass,Nicki Minaj
2025-05-23,05:36,Hele Vejen,Omar ft. Mumle
2025-05-23,05:39,We Pray,"Coldplay, Little Simz, Burna Boy, Elyanna, Tini"
2025-05-23,05:42,Strangers,Kenya Grace
2025-05-23,05:45,What's Luv?,Fat Joe ft. Ashanti
2025-05-23,05:47,Tell Me Where U Go,Clean Bandit ft. Tiesto ft. Leony
2025-05-23,05:51,Espresso,Sabrina Carpenter
2025-05-23,05:54,Du Ligner Din Mor,Benjamin Hav ft. Lukas Graham
2025-05-23,05:58,Can't Feel My Face,The Weeknd
2025-05-23,06:02,Beautiful People,David Guetta and Sia
2025-05-23,06:04,Dark Room,Tobias Rahim ft. ICEKIID
2025-05-23,06:08,Austin,Dasha
2025-05-23,06:11,Blessings,"Calvin Harris, Clementine Douglas"
2025-05-23,06:19,Down,Jay Sean
2025-05-23,06:22,Show Me Love,"WizTheMc, Tyla, bees and honey"
2025-05-23,06:26,Anxiety,Doechii
2025-05-23,06:29,Tænker Ik På Andre,Suspekt ft. URO
2025-05-23,06:36,Bmf,Sza
2025-05-23,06:39,Greedy,Tate McRae
2025-05-23,06:44,Messy,Lola Young
2025-05-23,06:47,A Bar Song,Shaboozey
2025-05-23,06:50,Seaside,Artigeardit
2025-05-23,06:59,Company,Thor Farlov
2025-05-23,07:02,Azizam,Ed Sheeran
2025-05-23,07:08,Blodigt,"Anton Westerlin, Annika"
2025-05-23,07:11,Nice To Meet You,Myles Smith
2025-05-23,07:20,Whatever,Kygo and Ava Max
2025-05-23,07:24,Think Of Me,"HUGEL, David Guetta, Kehlani, Daecolm"
2025-05-23,07:29,Stolt,Annika ft. Lamin
2025-05-23,07:38,Don't Call Me Up,Mabel
2025-05-23,07:42,In Da Club,50 Cent
2025-05-23,07:45,Espresso,Sabrina Carpenter
2025-05-23,07:49,Hele Vejen,Omar ft. Mumle
2025-05-23,07:58,Birds Of A Feather,Billie Eilish
2025-05-23,08:03,One Thing,Lola Young
2025-05-23,08:08,Ordinary,Alex Warren
2025-05-23,08:11,Revolving Door,Tate McRae
2025-05-23,08:19,Beautiful People,David Guetta and Sia
2025-05-23,08:22,Taste,Sabrina Carpenter
2025-05-23,08:25,Tæt På,Tobias Rahim ft. Delara
2025-05-23,08:30,Anxiety,Doechii
2025-05-23,08:37,Friends,Justin Bieber ft. Bloodpop
2025-05-23,08:41,Somedays,"Sonny Fodera, Jazzy, DOD"
2025-05-23,08:45,Stumblin' In,CYRIL
2025-05-23,08:48,I Like The Way You Kiss Me,Artemas
2025-05-23,08:57,Entré,Anton Westerlin ft. Lamin and ozzy
2025-05-23,09:18,Lose Yourself,Mø
2025-05-23,09:21,Sports Car,Tate McRae
2025-05-23,09:27,Messy,Lola Young
2025-05-23,09:30,Yeah!,Usher ft. Lil Jon and Ludacris
2025-05-23,09:37,Azizam,Ed Sheeran
2025-05-23,09:41,Blessings,"Calvin Harris, Clementine Douglas"
2025-05-23,09:45,Bmf,Sza
2025-05-23,09:48,Stolt,Annika ft. Lamin
2025-05-23,09:57,Promiscuous,Nelly Furtado ft. Timbaland
2025-05-23,10:01,Nice To Meet You,Myles Smith
2025-05-23,10:05,Hele Vejen,Omar ft. Mumle
2025-05-23,10:10,Tell Me,Sonny Fodera and Clementine Douglas
2025-05-23,10:18,"Gode Dage, Gode Drinks",Lamin
2025-05-23,10:21,Du Ligner Din Mor,Benjamin Hav ft. Lukas Graham
2025-05-23,10:25,Destination Calabria 2007,Alex Gaudino
2025-05-23,10:29,Ordinary,Alex Warren
2025-05-23,10:38,The Magic Key,One-T
2025-05-23,10:40,Beautiful People,David Guetta and Sia
2025-05-23,10:45,Too Sweet,Hozier
