Artist,Title
Alphabeat,Boyfriend
Aqua,Back To The 80's
Aqua,Barbie Girl
Aqua,Happy Boys & Girls
Bamses Venner,Kongens Have
Bamses Venner,Vimmersvej
Bring Det På,Ring Til Politiet
DR Big Band & Kommunemanden & Motor Mille,Tro På Os To
Hva' Snakker Du Om? & Anders Matthesen & Bossy Bo,Min Store Kærlighed
Benjamin Hav ft. Lukas Graham,Du Ligner Din Mor
Benjamin Hav ft. Lukas Graham,Du ligner din mor
Lizzie,Ramt I Natten
Nik & Jay,Boing!
Nik & Jay,Nik Og Jay
Kandis 18,Ondt I Håret
Rasmus Seebach,Øde Ø
Ray Dee Ohh,Jeg Vil La' Lyset Brænde
Rocazino,All my love
Rocazino,Ridder Lykke
Safri Duo & Clark Anderson,All The People In The World
Safri Duo,Played-A-Live
Sanne Salomonsen,Taxa
Suspekt,Gonzo
"Søs Fenger, Thomas Helmig, Sanne Salomonsen & Anne Linnet","Den Jeg Elsker, Elsker Jeg"
Tessa,Ben
Tobias Rahim & andreas odbjerg,STOR MAND
Tommy Seebach,Hip Hurra - Det' Min Fødselsdag
Tørfisk,VLTJ
De Første Kærester På Månen,tv·2
Østkyst Hustlers,Han Får For Lidt
Get Ready For This,2 UNLIMITED
ALARMA!,666
Bomba !,666
Caught in the Middle,A1
ATB,Killer 2000
Ace of Base,All That She Wants
Ace of Base,The Sign
American Authors,Best Day Of My Life
Jonah Blacksmith,Up
Billie Eilish,i love you
Bob Sinclar,Rock This Party
Daddy Cool,Boney M.
Viro,Adam
Can't Hold Us feat. Ray Dalton,Macklemore & Ryan Lewis
Cascada,Everytime We Touch
Corona,The Rhythm of the Night
Cut 'N' Move,I'm Alive
DJ Aligator Project,Davaj Davaj
DJ Quicksilver,Bellissima
DJ Tiesto,Insomnia - YouTube[via torchbrowser 0
Danseorkestret,Kom Tilbage Nu
David Guetta & Bebe Rexha,I'm Good (Blue)
Diskofil,Hej Smukke
Dj Tiesto,Extacy - YouTube[via torchbrowser
Dj Tiesto Traffic,YouTube[via torchbrowser
Duffy,Mercy
Life ft. Nana Hedin,E-Type
"Earth, Wind & Fire, The Emotions",Boogie Wonderland
Eye Q,I Want What She's Got
F4ST & Cornetto,Pedro Pedro Pedro
FISSELIS,Luder
Fede Finn & Funny Boyz,Volvo B 18-210
French Affair,My Heart Goes Boom
French Affair,Sexy
Gina G,Just A Little Bit
Guns N' Roses,Paradise City
Hozier,Too Sweet
James Sampson,Dream On
Kandis,Lonnie Fra Berlin
Kim Larsen,Fru Sauterne
Kim Larsen,Joanna
Kim Larsen,Midt om natten
Kongsted,Drunk Smiley Guy
Laban,"Dit Navn, Dit Nummer"
Laban,Hvor skal vi sove i nat - - )
Laban,Kold som is - Full version )
Jonah Blacksmith,Up
Me & My,Dub-I-Dub
Metallica,Enter Sandman
Michael Jackson,Chicago
Miley Cyrus,Flowers
Morten Hampenberg & Alexander Brown feat. Yepha,Det Stikker Helt Af
Nickelback,How You Remind Me
OPUS,Live Is Life
Odense Assholes,Tovepigen
Paradisio,Bailando
Paradisio,Bailando
Jonah Blacksmith,Up
Queen,Crazy Little Thing Called Love
ROSÉ & Bruno Mars,APT.
Rage Against The Machine,Killing In The Name
Rasmus Seebach,Lidt I Fem
Rasmus Seebach,Livstegn
Robert Miles,Children
Rollergirl,Superstar
Sabrina Carpenter,Espresso
Sash!,Ecuador
Sminkedukken,Sminkedukke Sangen
Sugar Station,Roller Coaster
Jonah Blacksmith,Up
Tempo & MGP,Lyst Til At Hop'
Ude Af Kontrol,FuckBoi
Viro,Adam
Willy William x Vengaboys,Boom Boom Boom Boom !!
Zididada,Zididada Day
a-ha,Take On Me [Remastered in 4K]
