Artist,Title
Alex Warren,Ordinary
Andreas Odbjerg,Hjem Fra Fabrikken
Andreas Odbjerg,smugryger
Annika,Luk Mig Ind
Annika Aakjær,POP
Anton Westerlin ft. Lamin and ozzy,Entré
"Anton Westerlin, Annika",Blodigt
APHACA,Smelter under månen
APHACA,En drøm om et menneske
APHACA,Et sted hvor vi de første
Ariana Grande,we can't be friends (wait for your love)
August Høyen,Gav det et skud
Aura,Song For Sophie
Back To Back,En elsker som dig
Barbara Moleko,Gør mig lykkelig
Benjamin Hav ft. Lukas Graham,Du Ligner Din Mor
Benson Boone,Sorry I'm Here For Someone Else
Berg,Koldblodet Killer
Bifald,Tænker du mon nogensinde på os
Bille & Buss,Den Lille Gumbas Feat. Botoft (Kontaktflade Mix)
Blæst,Vi ku' gå hele vejen
Blæst,Elsker Dig Så Meget
Blæst,Sover du nu
Boogie Bros,Fight for Your Right (RainDropz! Bootleg Remix Edit)
Brother Louie,Modern Talking
"Bryan Adams, Rod Stewart and Sting",All For Love
BURHAN G,Ikke i nat ikke endnu
Burhan G ft. Nik and Jay,Jeg Vil Ha' Dig For Mig Selv
Calvin Harris ft. Rihanna,This Is What You Came For
Carl Emil Petersen,Finale på et filmset
Christian Hjelm,Sjældne syner
Christian Juncker,Mogens og Karen
CHRISTOPHER,Ghost
CHRISTOPHER,Lose a you
Christopher,ONE
Christopher and Thor Farlov,Hvor Var Jeg Endt
Citybois,Sig mig
Clara Sofie/Rune RK,Når Tiden Går Baglæns
Clemens,Ubetinget
Danser med drenge,Hvorlænge Vil Du Ydmyge Dig
Danser Med Piger,Danser Med Piger
De første kærester på månen,TV2
De Her Timer,Lamin
Der Kommissar,Falco
Dig & Mig,Dieters Lieder
DIRTY Sound System,Waiting for Love (Technoposse Remix Edit)
DJ Spiller/Sophie Ellis-Bextor/Spiller,Groovejet (If This Ain't Love)
Djämes Braun,Lytter ikk' til dem
Dodo & The Dodo's,Giv mig hvad du har
Dodo and The Dodos,Sømand Af Verden
Dodo and The Dodos,Hvis Det Bli'r
Dodo and The Dodos,Vi Gør Det Vi Kan Li'
Dodo and The Dodos,Vågner I Natten
Dos Santos,Falder I
Dos Santos,Folder Mine Hænder
Ella Augusta,Baglæns
EMIL STABIL,Allerede is
Eminem,Sing For The Moment
Flesh for Fantasy,Billy Idol
Fra Jylland til København,MUMLE
Fri mand,PIND
Ganger,Elsker dig for evigt
Gilli,Kender ik' i morgen
Gilli,Rene Hjerter
Gobs,Tro På Kærlighed
"Hej Matematik, Ankerstjerne",Det blir en go dag
Held & Lykke,SASO
HJALMER,Samme fejl
