Artist,Title
A thousand miles,VANESSA CARLTON
A36 ft. Branco and Kamelen,Samma Gamla Vanliga
Adele,Rolling in the Deep
Adele,Someone Like You
Africa,Toto
After Hours,Kehlani
Agnes,Release Me
Ah Yeah So What Feat. Wiley & Elen Levon (SCNDL Remix),Will Sparks
AKON,Lonely
Alabama Shakes,Hold On
ALAN WALKER / BENJAMIN INGROSSO,Man on the moon
Alex,So Beautiful
Alex Newell,Keep It Moving (Qulinez Remix)
Alex Warren,Ordinary
ALEX WARREN,Carry you home
Alex Warren,Burning Down
Alfons,Let Me Go
Alicia Keys,If I Ain't Got You
All Night Long,Lionel Richie
All Saints,Pure Shores
All That She Wants,Ace Of Base
Aloe Blacc,I Need A Dollar
Ameli Dot,Hanging With Myself
Amy Winehouse,Rehab
Angels,Robbie Williams
Another Day In Paradise,Phil Collins
Ariana Grande,One Last Time
Arina Mai,Troubled Mind
Armin Van Buuren vs. Vini Vici,Great Spirit Feat Hilight Tribe
ATB,Don't Stop
AVA MAX,Weapons
Ava Max,Sweet But Psycho
B.O.B. ft. Hayley Williams,Airplanes
"Baby, I Love Your Way",Big Mountain
Backstreet Boys,As Long As You Love Me
Backstreet Boys,Quit Playing Games (With My Heart)
Backstreet Boys,I Want It That Way
Basshunter & Alien Cut,End The Lies
BASTILLE,Of the night
Bathsheba,Something About Her
Be With You,Enrique Iglesias
Beyoncé,Crazy in Love
Beyoncé,Irreplaceable
Beyoncé,Love On Top
Beyoncé,TEXAS HOLD 'EM
Billie Eilish,Birds Of A Feather
Billy Boy,One Two
Bingo Players Vs. Zak Noel Vs. White Stripes,Seven Loca Rattle (Djs From Mars Triplemash Club Mix)
Black Eyed Peas,Where Is The Love
BLUE,One love
"Borgeous, Rvssian & M.R.I.",Ride It feat. Sean Paul (7 Skies & Sissa Remix)
Breathe Feat. Rob Swire,Eric Prydz
BRIAN MCFADDEN / DELTA GOODREM,Almost here
Brimheim,Literally Everything
Britney Spears,...Baby One More Time
Britney Spears,Crazy
Brooklyn Bounce & Steve Modana,Bounce Attack (Back to the 90s) (Raindropz! Edit)
BRUNO MARS,Grenade
Bruno Mars,Just The Way You Are
Bruno Mars,Treasure
Bruno Mars,Locked Out Of Heaven
"Bruno Mars, Lady Gaga",Die With a Smile
C-BooL,House Baby (Verano Remix Edit)
Calby,The Everyday Bit
Calvin Harris ft. Dua Lipa,One Kiss
"Calvin Harris, Clementine Douglas",Blessings
CAMILA CABELLO,Liar
Camila Cabello/Shawn Mendes,Señorita
Can't Fight The Moonlight,LeAnn Rimes
Can't Tame Her,Zara Larsson
Cargo Vs. Ottomix & Phobia,Deep Raggasex (Aba & Simonsen Pornstar Booty Tool)
Caribbean Queen,Billy Ocean
Carly Rae Jepsen,Call Me Maybe
Cartoons,Little Red Ridinghood
Caught In The Middle,A1
Charlie Puth,We Don't Talk Anymore
Chicago,If You Leave Me Now
China In Your Hand,T'Pau
Chris Brown ft. Juelz Santana,Run It!
Christopher,Lose A You
Christopher,Ghost
Chriz ft. Nadia Gattas,The Weekend
CLEAN BANDIT / TIËSTO / LEONY,Tell me where u go
Closer,Ne-Yo
Club Can't Handle Me,Flo Rida and David Guetta
Colbie Caillat,Bubbly
COLDPLAY,We pray
Coldplay,Clocks
Coldplay,feelslikeimfallinginlove
Coldplay/BTS,My Universe
Come On Eileen,Dexy's Midnight Runners
Company,Thor Farlov
Counting Crows,Mr. Jones
CRAIG DAVID,Don't love you no more
D.A.D.,Sleeping My Day Away
Daddy Cool (Remix 2000),Pump Sisters
Daft Punk,"Harder, Better, Faster, Stronger (Raindropz! 2008 Bootleg Mix)"
Damiano David,Born With A Broken Heart
Dan Winter,Party Jump (Dj Tht Ced Tecknoboy Bootleg)
Dance With The Pattesutter (D-Devils vs. Pattesutter),Pattesutter
Dancing In The Dark,Bruce Springsteen
DANIEL BEDINGFIELD,Wrap my words around you
Danny Klark,Pjanoo (Bass Power Remix)
Dasha,Austin
Dasha,Not At This Party
David Guetta,Without You
David Guetta & Alesso,Every Chance We Get We Run Feat. Tegan Quin & Sara
DAVID GUETTA / ONE REPUBLIC,I don't wanna wait
DAVID GUETTA / SHOWTEK / VASSY,Bad
David Guetta and Bebe Rexha,I'm Good
David Guetta and Sia,Beautiful People
"David Guetta, Alphaville and Ava Max",Forever Young
DAYYANI,Nobody Kills Me Like You Do
Debbii Dawson,You Killed The Music
Decoy! & The Royalties STHLM,You Are Not Alone
Depeche Mode,Policy Of Truth
DERMOT KENNEDY,Kiss me
DIDO,Thank you
Died In Your Arms,Cutting Crew
Dino & Rocker,Breakfast At Tiffanys (Justin Corza Meets Greg Blast Remix)
DISCIPLES,I got you
